## New Orleans Pelicans — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Saddiq Bey	35:06	7	13	0.5	4	7	0.6	4	4	1.0	0	3	3	2	0	0	0	3	22	-4.0
Zion Williamson	37:43	5	11	0.5	0	0	0.0	10	12	0.8	0	5	5	8	2	0	2	5	20	-1.0
Derik Queen	21:58	3	5	0.6	0	1	0.0	0	3	0.0	0	3	3	7	0	0	0	0	6	-12.0
Trey Murphy III	39:53	15	28	0.5	12	19	0.6	2	2	1.0	2	4	6	6	3	0	4	1	44	+3.0
Herbert Jones	35:58	2	6	0.3	1	4	0.2	2	2	1.0	0	2	2	2	2	0	0	2	7	+4.0
Jeremiah Fears	19:46	4	8	0.5	3	4	0.8	2	3	0.7	0	2	2	4	1	0	2	1	13	-9.0
Karlo Matković	15:17	3	7	0.4	1	3	0.3	0	0	0.0	2	1	3	1	0	0	0	1	7	-3.0
Micah Peavy	11:37	1	4	0.2	0	3	0.0	0	0	0.0	0	2	2	0	1	0	0	0	2	+5.0
Yves Missi	30:49	2	7	0.3	0	0	0.0	3	3	1.0	4	3	7	1	0	2	0	1	7	+8.0
Jose Alvarado	16:52	3	5	0.6	3	5	0.6	0	0	0.0	1	4	5	1	0	0	0	0	9	-11.0

## Milwaukee Bucks — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Amir Coffey	25:09	7	8	0.9	2	3	0.7	0	1	0.0	1	4	5	1	0	1	0	2	16	+1.0
Kyle Kuzma	30:59	3	5	0.6	1	2	0.5	0	0	0.0	0	6	6	9	0	0	3	1	7	-2.0
Myles Turner	28:31	7	11	0.6	2	5	0.4	0	0	0.0	0	9	9	1	0	2	2	4	16	0.0
AJ Green	35:44	7	13	0.5	6	12	0.5	0	0	0.0	1	2	3	2	0	0	1	2	20	-2.0
Ryan Rollins	39:48	10	19	0.5	3	10	0.3	4	5	0.8	0	4	4	4	0	0	4	2	27	+9.0
Kevin Porter Jr.	29:23	7	14	0.5	0	3	0.0	4	4	1.0	1	5	6	9	5	0	4	2	18	+1.0
Pete Nance	18:43	6	9	0.7	4	7	0.6	0	0	0.0	1	2	3	3	0	0	0	2	16	+4.0
Jericho Sims	27:46	4	4	1.0	0	0	0.0	0	0	0.0	1	5	6	4	0	0	0	1	8	+6.0
Gary Trent Jr.	23:49	5	7	0.7	3	5	0.6	0	0	0.0	0	0	0	2	0	0	0	0	13	+4.0
Andre Jackson Jr.	5:06	0	2	0.0	0	0	0.0	0	0	0.0	1	0	1	1	0	0	0	2	0	-1.0
