## Oklahoma City Thunder — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Aaron Wiggins	37:43	7	14	0.5	4	7	0.6	2	2	1.0	0	4	4	6	5	0	3	1	20	-4.0
Kenrich Williams	35:13	9	18	0.5	4	7	0.6	3	4	0.8	2	7	9	2	1	0	3	0	25	-12.0
Jaylin Williams	39:40	6	15	0.4	4	11	0.4	8	8	1.0	0	12	12	4	0	2	2	4	24	-14.0
Cason Wallace	34:21	6	16	0.4	1	5	0.2	0	0	0.0	1	2	3	5	3	1	3	4	13	-15.0
Isaiah Joe	37:08	1	7	0.1	0	3	0.0	0	0	0.0	2	3	5	2	1	2	1	1	2	-1.0
Chris Youngblood	19:57	2	6	0.3	1	4	0.2	0	0	0.0	0	3	3	2	0	2	0	1	5	-3.0
Branden Carlson	15:55	1	2	0.5	1	1	1.0	0	0	0.0	3	4	7	0	0	2	0	1	3	+10.0
Brooks Barnhizer	20:00	5	15	0.3	4	9	0.4	0	0	0.0	1	2	3	5	0	0	2	4	14	-11.0

## San Antonio Spurs — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Devin Vassell	25:01	2	10	0.2	1	7	0.1	0	0	0.0	0	3	3	0	1	0	1	0	5	-4.0
Julian Champagnie	27:23	3	6	0.5	2	5	0.4	0	0	0.0	1	4	5	3	0	0	2	2	8	+13.0
Victor Wembanyama	28:21	9	16	0.6	1	2	0.5	3	8	0.4	3	11	14	2	0	2	2	1	22	+17.0
De'Aaron Fox	33:13	5	10	0.5	0	3	0.0	5	6	0.8	0	4	4	10	3	1	1	1	15	+20.0
Stephon Castle	26:29	6	14	0.4	0	3	0.0	2	2	1.0	1	2	3	4	3	2	3	5	14	-4.0
Keldon Johnson	28:39	10	17	0.6	4	8	0.5	1	2	0.5	1	5	6	2	0	1	0	2	25	+8.0
Luke Kornet	15:08	2	7	0.3	0	0	0.0	0	0	0.0	9	6	15	2	1	0	0	0	4	-4.0
Harrison Barnes	29:33	3	9	0.3	2	7	0.3	1	2	0.5	2	5	7	1	0	2	2	2	9	0.0
Carter Bryant	13:21	4	9	0.4	3	6	0.5	0	0	0.0	1	4	5	1	2	0	1	2	11	+6.0
Jordan McLaughlin	12:52	1	3	0.3	1	1	1.0	0	0	0.0	0	1	1	1	1	0	0	0	3	-2.0
