## Brooklyn Nets — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Michael Porter Jr.	32:19	2	13	0.2	2	7	0.3	3	3	1.0	0	2	2	2	1	0	2	3	9	-23.0
Noah Clowney	21:53	0	6	0.0	0	4	0.0	0	0	0.0	1	3	4	0	1	0	2	4	0	-14.0
Nic Claxton	28:50	6	8	0.8	0	1	0.0	2	5	0.4	2	4	6	3	0	0	1	1	14	-20.0
Nolan Traore	37:57	7	13	0.5	3	7	0.4	4	5	0.8	1	2	3	7	1	0	4	3	21	-11.0
Egor Dëmin	31:57	8	12	0.7	6	10	0.6	4	5	0.8	1	3	4	2	0	0	2	1	26	-4.0
Ziaire Williams	16:58	0	2	0.0	0	1	0.0	1	3	0.3	0	2	2	0	3	1	2	0	1	-18.0
Drake Powell	18:58	3	9	0.3	0	4	0.0	0	1	0.0	3	0	3	2	0	0	1	3	6	-2.0
Day'Ron Sharpe	13:10	2	4	0.5	0	0	0.0	0	0	0.0	2	3	5	0	1	0	1	4	4	-6.0
Ben Saraf	16:03	1	4	0.2	0	1	0.0	2	3	0.7	0	1	1	4	0	0	3	3	4	-3.0
Danny Wolf	21:53	5	11	0.5	1	4	0.2	2	4	0.5	1	5	6	2	0	1	1	2	13	+1.0

## Orlando Magic — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Desmond Bane	31:47	7	14	0.5	1	7	0.1	8	9	0.9	0	3	3	4	4	0	2	0	23	+20.0
Paolo Banchero	31:21	8	13	0.6	0	2	0.0	6	8	0.8	0	5	5	4	0	2	1	1	22	+14.0
Wendell Carter Jr.	21:49	3	6	0.5	1	2	0.5	0	0	0.0	2	6	8	1	2	1	1	4	7	+10.0
Anthony Black	27:35	6	12	0.5	2	5	0.4	4	5	0.8	0	2	2	5	1	1	0	3	18	+18.0
Jalen Suggs	29:06	6	9	0.7	3	5	0.6	0	0	0.0	2	9	11	11	3	4	3	0	15	+24.0
Jase Richardson	22:32	0	4	0.0	0	3	0.0	1	2	0.5	0	1	1	2	2	0	0	2	1	+6.0
Moritz Wagner	12:08	6	10	0.6	0	2	0.0	2	3	0.7	1	4	5	0	0	0	2	3	14	+6.0
Tristan da Silva	17:30	1	4	0.2	0	1	0.0	0	0	0.0	1	1	2	0	1	2	0	2	2	+12.0
Jonathan Isaac	7:35	0	0	0.0	0	0	0.0	0	0	0.0	0	1	1	1	0	0	1	1	0	+10.0
Noah Penda	14:14	0	0	0.0	0	0	0.0	0	0	0.0	2	0	2	1	0	0	2	3	0	+1.0
Jett Howard	12:21	3	6	0.5	1	4	0.2	0	0	0.0	0	0	0	2	1	0	0	2	7	-9.0
Jamal Cain	6:00	1	1	1.0	1	1	1.0	0	0	0.0	0	1	1	1	0	0	1	0	3	-6.0
Goga Bitadze	6:00	3	3	1.0	0	0	0.0	0	0	0.0	1	0	1	0	0	1	0	0	6	-6.0
