## Charlotte Hornets — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Kon Knueppel	32:21	8	13	0.6	2	5	0.4	6	6	1.0	1	3	4	2	0	0	6	3	24	+3.0
Miles Bridges	32:05	7	17	0.4	3	8	0.4	1	1	1.0	2	4	6	4	1	0	0	0	18	+14.0
Moussa Diabaté	29:20	3	5	0.6	0	0	0.0	1	2	0.5	7	5	12	4	0	1	1	1	7	+14.0
Brandon Miller	21:28	4	9	0.4	1	4	0.2	2	2	1.0	1	2	3	1	3	1	6	4	11	-9.0
LaMelo Ball	28:34	7	19	0.4	5	12	0.4	1	2	0.5	1	5	6	4	0	0	3	1	20	+8.0
Josh Green	22:52	4	4	1.0	3	3	1.0	3	3	1.0	0	1	1	2	4	1	1	1	14	+18.0
Ryan Kalkbrenner	18:41	0	2	0.0	0	0	0.0	2	2	1.0	2	2	4	1	4	2	0	2	2	-4.0
Grant Williams	15:56	0	3	0.0	0	3	0.0	2	2	1.0	1	2	3	0	0	0	1	1	2	-4.0
Sion James	21:53	2	5	0.4	2	3	0.7	0	0	0.0	0	2	2	0	2	0	0	1	6	+2.0
Tre Mann	16:47	1	10	0.1	1	5	0.2	2	2	1.0	1	4	5	3	0	0	2	1	5	+8.0

## Houston Rockets — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Kevin Durant	31:20	11	21	0.5	3	4	0.8	6	8	0.8	1	2	3	1	5	0	6	0	31	-11.0
Jabari Smith Jr.	33:12	7	10	0.7	1	3	0.3	2	3	0.7	0	7	7	2	1	2	1	2	17	-18.0
Alperen Sengun	27:49	3	11	0.3	0	1	0.0	1	2	0.5	4	5	9	5	0	1	1	4	7	-6.0
Josh Okogie	20:30	2	2	1.0	1	1	1.0	1	2	0.5	1	0	1	0	1	0	1	1	6	-22.0
Amen Thompson	32:48	3	7	0.4	0	0	0.0	2	2	1.0	3	2	5	7	1	1	5	1	8	-11.0
Dorian Finney-Smith	16:15	1	4	0.2	0	2	0.0	0	0	0.0	2	1	3	2	1	0	1	3	2	-20.0
Reed Sheppard	22:03	2	10	0.2	1	6	0.2	2	2	1.0	0	2	2	0	2	1	2	2	7	-12.0
Clint Capela	17:15	3	5	0.6	0	0	0.0	0	0	0.0	0	5	5	0	2	0	0	1	6	+5.0
Isaiah Crawford	15:34	2	3	0.7	1	2	0.5	0	0	0.0	0	1	1	2	2	0	0	0	5	+9.0
Aaron Holiday	7:44	0	2	0.0	0	0	0.0	0	0	0.0	1	0	1	1	1	0	0	0	0	+12.0
JD Davison	7:44	2	4	0.5	0	1	0.0	0	0	0.0	0	1	1	3	0	0	1	2	4	+12.0
Jeff Green	7:44	2	4	0.5	1	3	0.3	1	1	1.0	0	2	2	1	1	0	0	0	6	+12.0
