## Chicago Bulls — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Isaac Okoro	29:46	3	8	0.4	0	4	0.0	4	4	1.0	2	0	2	1	1	0	1	2	10	-21.0
Matas Buzelis	32:36	7	11	0.6	2	6	0.3	2	2	1.0	1	5	6	3	1	1	3	1	18	-19.0
Jalen Smith	24:17	6	11	0.5	0	3	0.0	1	2	0.5	3	6	9	1	1	0	0	1	13	-6.0
Jaden Ivey	33:10	5	12	0.4	3	5	0.6	0	0	0.0	2	2	4	6	3	0	2	3	13	-9.0
Anfernee Simons	31:58	8	15	0.5	6	13	0.5	0	0	0.0	0	2	2	3	0	1	3	1	22	-10.0
Patrick Williams	25:15	3	12	0.2	3	8	0.4	0	0	0.0	0	1	1	2	0	1	1	1	9	-7.0
Guerschon Yabusele	33:14	6	11	0.5	3	6	0.5	0	0	0.0	4	7	11	3	2	0	1	2	15	-4.0
Yuki Kawamura	12:10	1	4	0.2	1	2	0.5	0	0	0.0	1	1	2	7	1	0	3	0	3	+3.0
Lachlan Olbrich	4:05	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	1	0	0	0	0	0	0.0
Mac McClung	13:28	2	7	0.3	0	2	0.0	0	0	0.0	0	1	1	1	0	1	1	2	4	-7.0

## Toronto Raptors — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Brandon Ingram	35:20	12	20	0.6	5	9	0.6	4	4	1.0	0	6	6	6	0	1	2	0	33	+7.0
Scottie Barnes	32:25	6	11	0.5	1	3	0.3	0	0	0.0	2	4	6	7	0	0	4	2	13	+10.0
Collin Murray-Boyles	37:09	8	9	0.9	0	0	0.0	1	2	0.5	1	4	5	4	1	3	1	2	17	+20.0
Ja'Kobe Walter	30:56	6	9	0.7	0	1	0.0	0	0	0.0	1	4	5	2	2	0	1	3	12	+14.0
Immanuel Quickley	30:52	9	20	0.5	3	11	0.3	3	3	1.0	1	1	2	5	1	0	0	2	24	+14.0
Jamal Shead	22:12	1	3	0.3	1	2	0.5	0	0	0.0	0	4	4	8	2	2	3	0	3	+7.0
Sandro Mamukelashvili	23:18	5	9	0.6	4	6	0.7	3	4	0.8	1	4	5	1	3	1	0	0	17	+3.0
Gradey Dick	11:32	1	3	0.3	0	1	0.0	0	0	0.0	1	0	1	1	0	0	0	2	2	-3.0
Jamison Battle	13:44	1	3	0.3	0	1	0.0	0	0	0.0	1	0	1	1	0	0	0	0	2	+7.0
Alijah Martin	1:36	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	+1.0
A.J. Lawson	0:26	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.0
Jonathan Mogbo	0:26	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	1	0	0	0	0	0.0
