## Golden State Warriors — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Moses Moody	30:54	2	7	0.3	2	7	0.3	0	0	0.0	0	8	8	1	0	1	1	1	6	+4.0
Gui Santos	35:55	6	9	0.7	3	6	0.5	3	5	0.6	0	4	4	7	1	1	4	2	18	+2.0
Draymond Green	24:06	1	3	0.3	1	3	0.3	2	2	1.0	0	5	5	1	0	0	1	0	5	-1.0
Pat Spencer	32:23	6	11	0.5	6	10	0.6	2	2	1.0	1	5	6	4	2	0	4	2	20	-3.0
De'Anthony Melton	24:43	6	14	0.4	2	9	0.2	3	4	0.8	0	2	2	1	3	0	2	1	17	+21.0
Gary Payton II	18:49	6	11	0.5	3	6	0.5	0	0	0.0	3	5	8	1	1	1	0	1	15	+4.0
Brandin Podziemski	12:11	0	3	0.0	0	3	0.0	0	0	0.0	1	2	3	1	0	0	1	1	0	-21.0
Al Horford	27:56	4	10	0.4	2	5	0.4	3	5	0.6	2	2	4	4	0	1	2	1	13	0.0
Will Richard	27:17	2	6	0.3	1	4	0.2	2	2	1.0	3	0	3	2	1	0	0	2	7	+16.0
Quinten Post	5:43	0	2	0.0	0	2	0.0	0	0	0.0	0	2	2	1	0	0	0	1	0	-2.0

## Phoenix Suns — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Dillon Brooks	35:13	10	24	0.4	2	6	0.3	2	3	0.7	1	5	6	1	1	0	2	3	24	-6.0
Royce O'Neale	27:10	3	7	0.4	3	6	0.5	0	0	0.0	0	1	1	5	0	0	1	1	9	-5.0
Mark Williams	22:47	5	6	0.8	0	0	0.0	1	1	1.0	2	8	10	0	0	1	1	3	11	+6.0
Grayson Allen	32:31	7	17	0.4	5	13	0.4	2	2	1.0	1	4	5	4	1	0	3	1	21	+4.0
Collin Gillespie	33:24	4	12	0.3	3	10	0.3	0	0	0.0	2	1	3	4	1	0	1	0	11	-10.0
Jordan Goodwin	29:22	2	6	0.3	2	6	0.3	0	0	0.0	0	2	2	2	2	0	0	3	6	+7.0
Oso Ighodaro	24:51	3	4	0.8	0	0	0.0	0	0	0.0	0	5	5	1	2	0	2	2	6	-12.0
Jamaree Bouyea	19:31	2	3	0.7	0	0	0.0	0	0	0.0	0	3	3	4	2	0	1	1	4	+4.0
Ryan Dunn	12:25	2	3	0.7	1	2	0.5	0	0	0.0	0	2	2	1	1	0	1	0	5	0.0
Isaiah Livers	2:44	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	1	0	-8.0
