## Philadelphia 76ers — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Kelly Oubre Jr.	39:49	2	8	0.2	0	3	0.0	4	4	1.0	1	3	4	3	3	0	0	2	8	+4.0
Dominick Barlow	25:52	6	10	0.6	0	1	0.0	1	3	0.3	1	2	3	0	2	1	1	0	13	+1.0
Joel Embiid	38:34	13	19	0.7	1	2	0.5	8	8	1.0	1	6	7	7	1	2	3	2	35	+7.0
VJ Edgecombe	39:13	7	16	0.4	3	7	0.4	2	2	1.0	1	9	10	2	4	0	3	2	19	-2.0
Tyrese Maxey	37:23	11	22	0.5	1	9	0.1	3	4	0.8	0	0	0	13	4	0	4	5	26	+8.0
Quentin Grimes	27:22	1	2	0.5	0	1	0.0	2	2	1.0	0	0	0	2	1	0	2	4	4	-10.0
Adem Bona	10:58	1	2	0.5	0	0	0.0	0	0	0.0	0	1	1	0	0	0	0	3	2	-17.0
Trendon Watford	15:44	3	3	1.0	0	0	0.0	0	0	0.0	0	2	2	2	0	0	1	1	6	-11.0
Justin Edwards	5:03	1	2	0.5	0	1	0.0	0	0	0.0	0	1	1	0	0	0	0	3	2	0.0

## Los Angeles Lakers — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
LeBron James	37:26	7	17	0.4	0	3	0.0	3	3	1.0	0	4	4	10	0	1	8	1	17	-5.0
Jake LaRavia	23:18	5	7	0.7	0	2	0.0	4	5	0.8	0	0	0	2	3	0	1	2	14	-1.0
Deandre Ayton	19:54	4	5	0.8	0	0	0.0	2	2	1.0	2	4	6	0	0	2	0	2	10	-13.0
Marcus Smart	31:13	2	5	0.4	2	3	0.7	1	4	0.2	2	2	4	5	0	0	0	2	7	-15.0
Luka Dončić	15:57	3	10	0.3	0	4	0.0	4	4	1.0	0	4	4	2	0	0	5	0	10	-10.0
Dalton Knecht	3:07	1	1	1.0	0	0	0.0	0	0	0.0	1	0	1	0	0	0	1	0	2	+4.0
Maxi Kleber	26:20	2	3	0.7	0	0	0.0	0	0	0.0	4	0	4	4	3	0	1	3	4	+23.0
Rui Hachimura	34:42	5	7	0.7	2	2	1.0	2	2	1.0	0	7	7	1	0	0	0	2	14	+16.0
Jarred Vanderbilt	23:00	3	7	0.4	0	3	0.0	0	0	0.0	0	6	6	1	2	1	1	5	6	+16.0
Austin Reaves	25:03	12	17	0.7	5	8	0.6	6	7	0.9	1	5	6	2	0	0	5	0	35	+5.0
