## San Antonio Spurs — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Julian Champagnie	27:19	4	12	0.3	2	8	0.2	4	4	1.0	1	6	7	1	1	0	1	2	14	+5.0
Harrison Barnes	34:23	5	7	0.7	5	7	0.7	4	4	1.0	0	1	1	3	0	1	3	2	19	+8.0
Victor Wembanyama	34:27	9	14	0.6	5	9	0.6	6	8	0.8	3	8	11	6	2	3	3	4	29	+14.0
Devin Vassell	30:08	5	12	0.4	0	4	0.0	2	2	1.0	3	4	7	3	0	0	0	0	12	+15.0
De'Aaron Fox	31:56	7	16	0.4	3	7	0.4	0	0	0.0	0	3	3	7	0	0	2	3	17	-8.0
Keldon Johnson	19:09	5	9	0.6	0	0	0.0	2	2	1.0	2	4	6	4	1	1	1	2	12	-6.0
Stephon Castle	21:40	8	13	0.6	1	3	0.3	1	1	1.0	2	5	7	6	3	0	3	1	18	+27.0
Dylan Harper	19:14	3	7	0.4	0	1	0.0	3	4	0.8	0	5	5	2	0	2	0	2	9	+8.0
Carter Bryant	17:52	1	3	0.3	0	0	0.0	0	0	0.0	0	2	2	2	0	0	0	2	2	+1.0
Jordan McLaughlin	3:52	1	2	0.5	1	2	0.5	0	0	0.0	0	1	1	0	0	0	0	0	3	-4.0

## Dallas Mavericks — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Cooper Flagg	38:32	14	27	0.5	2	5	0.4	2	2	1.0	1	5	6	4	2	3	3	1	32	-19.0
Caleb Martin	31:33	3	4	0.8	1	1	1.0	1	2	0.5	0	4	4	1	2	0	3	3	8	-20.0
Daniel Gafford	33:01	5	8	0.6	0	0	0.0	6	8	0.8	4	6	10	2	3	4	0	6	16	+2.0
Max Christie	37:44	7	15	0.5	2	8	0.2	4	4	1.0	0	3	3	4	1	0	1	0	20	-15.0
Naji Marshall	38:46	12	21	0.6	4	7	0.6	4	4	1.0	1	5	6	3	0	0	1	2	32	+5.0
Klay Thompson	20:26	2	8	0.2	1	6	0.2	0	0	0.0	0	2	2	1	0	0	0	2	5	-12.0
Moussa Cisse	11:39	0	2	0.0	0	0	0.0	0	0	0.0	0	5	5	0	0	1	0	3	0	-4.0
Ryan Nembhard	17:15	2	9	0.2	1	2	0.5	0	0	0.0	1	2	3	7	1	0	1	2	5	+5.0
Miles Kelly	8:53	2	3	0.7	1	2	0.5	0	0	0.0	0	2	2	1	0	0	0	1	5	+6.0
Dwight Powell	2:11	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	-8.0
