## Utah Jazz — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Cody Williams	37:36	2	9	0.2	0	3	0.0	1	2	0.5	2	2	4	2	1	3	0	2	5	-10.0
Lauri Markkanen	23:26	6	12	0.5	3	5	0.6	3	3	1.0	2	3	5	1	1	0	1	2	18	-3.0
Kyle Filipowski	28:25	5	9	0.6	2	3	0.7	3	5	0.6	8	9	17	1	0	0	3	5	15	-6.0
Ace Bailey	40:21	9	26	0.3	2	8	0.2	0	0	0.0	3	3	6	1	2	1	0	3	20	0.0
Isaiah Collier	48:00	11	22	0.5	0	2	0.0	3	4	0.8	1	6	7	11	3	0	2	4	25	-2.0
Brice Sensabaugh	29:34	6	11	0.5	3	5	0.6	3	6	0.5	0	4	4	2	0	0	1	6	18	+2.0
Svi Mykhailiuk	22:42	6	10	0.6	2	4	0.5	0	0	0.0	0	4	4	0	0	0	0	1	14	+10.0
Oscar Tshiebwe	9:56	2	2	1.0	0	0	0.0	0	0	0.0	2	0	2	1	0	0	1	1	4	-1.0

## Atlanta Hawks — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Zaccharie Risacher	19:15	0	8	0.0	0	4	0.0	0	0	0.0	1	5	6	0	1	0	2	3	0	-8.0
Jalen Johnson	38:38	9	19	0.5	0	5	0.0	4	5	0.8	4	12	16	15	0	2	4	4	22	+7.0
Jock Landale	31:31	10	14	0.7	5	8	0.6	1	2	0.5	6	5	11	5	0	4	2	2	26	+10.0
Dyson Daniels	34:34	5	12	0.4	1	2	0.5	0	2	0.0	3	3	6	6	0	0	1	2	11	+9.0
Nickeil Alexander-Walker	33:42	9	15	0.6	0	3	0.0	5	5	1.0	1	1	2	5	2	0	0	0	23	+10.0
CJ McCollum	31:52	3	12	0.2	0	6	0.0	2	2	1.0	0	0	0	3	0	3	1	1	8	0.0
Asa Newell	16:29	4	7	0.6	0	2	0.0	1	3	0.3	3	0	3	0	0	1	0	1	9	-8.0
Corey Kispert	24:34	7	9	0.8	2	4	0.5	4	4	1.0	0	2	2	0	0	0	0	4	20	-5.0
Mouhamed Gueye	9:22	1	2	0.5	0	1	0.0	0	0	0.0	1	3	4	0	0	0	0	1	2	-5.0
