## Washington Wizards — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Justin Champagnie	15:27	5	10	0.5	3	4	0.8	1	1	1.0	4	3	7	1	0	1	0	0	14	+16.0
Kyshawn George	17:41	3	5	0.6	1	3	0.3	1	2	0.5	1	2	3	3	0	0	1	2	8	-1.0
Alex Sarr	18:01	5	10	0.5	2	4	0.5	0	1	0.0	2	4	6	1	0	1	1	2	12	+2.0
Bilal Coulibaly	36:14	4	12	0.3	1	4	0.2	2	3	0.7	1	4	5	4	1	1	3	4	11	-1.0
Bub Carrington	21:56	4	10	0.4	2	7	0.3	2	2	1.0	0	0	0	4	1	0	1	1	12	+1.0
Tristan Vukcevic	11:08	5	7	0.7	3	4	0.8	1	1	1.0	0	3	3	3	1	2	3	4	14	+3.0
Sharife Cooper	34:26	8	12	0.7	2	5	0.4	0	0	0.0	1	2	3	5	0	0	5	3	18	-3.0
Will Riley	29:21	9	14	0.6	2	5	0.4	0	3	0.0	1	5	6	5	2	0	0	3	20	+13.0
Jamir Watkins	25:55	2	5	0.4	1	3	0.3	1	2	0.5	1	2	3	2	1	1	1	2	6	+8.0
Anthony Gill	29:50	4	6	0.7	1	2	0.5	2	3	0.7	0	3	3	2	3	0	1	5	11	+7.0

## Detroit Pistons — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Ausar Thompson	32:46	5	8	0.6	0	0	0.0	3	4	0.8	4	5	9	3	4	2	2	4	13	-5.0
Isaiah Stewart	28:46	1	3	0.3	0	1	0.0	2	2	1.0	0	2	2	0	0	0	2	2	4	-3.0
Jalen Duren	12:39	2	6	0.3	0	0	0.0	0	0	0.0	0	3	3	0	0	0	2	1	4	-15.0
Duncan Robinson	30:18	6	15	0.4	6	15	0.4	3	3	1.0	0	1	1	2	0	0	0	1	21	-7.0
Cade Cunningham	37:30	10	21	0.5	0	3	0.0	10	13	0.8	2	6	8	8	0	1	4	2	30	-16.0
Ronald Holland II	24:43	4	9	0.4	0	2	0.0	3	4	0.8	4	6	10	2	1	1	0	1	11	+3.0
Caris LeVert	16:07	3	7	0.4	0	2	0.0	1	1	1.0	1	1	2	3	1	1	0	3	7	-4.0
Marcus Sasser	13:54	3	6	0.5	2	4	0.5	0	0	0.0	0	2	2	3	1	0	1	1	8	+2.0
Javonte Green	18:22	3	6	0.5	1	4	0.2	1	2	0.5	1	2	3	0	3	0	3	0	8	-2.0
Kevin Huerter	5:58	0	2	0.0	0	2	0.0	0	0	0.0	0	1	1	1	1	0	0	1	0	-7.0
Paul Reed	13:15	3	4	0.8	0	0	0.0	1	2	0.5	2	3	5	0	0	0	1	1	7	0.0
Wendell Moore Jr.	5:41	1	1	1.0	0	0	0.0	2	2	1.0	0	1	1	0	0	0	0	0	4	+9.0
