## Indiana Pacers — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Johnny Furphy	31:23	1	4	0.2	0	2	0.0	0	0	0.0	2	6	8	3	1	0	0	2	2	+1.0
Pascal Siakam	32:41	7	19	0.4	1	8	0.1	4	8	0.5	1	5	6	4	1	1	2	1	19	-10.0
Jay Huff	22:45	1	4	0.2	1	4	0.2	2	2	1.0	0	3	3	1	1	2	0	2	5	-22.0
Aaron Nesmith	26:51	4	9	0.4	2	6	0.3	2	2	1.0	0	1	1	1	2	0	2	1	12	+9.0
Andrew Nembhard	36:52	6	17	0.4	3	10	0.3	7	7	1.0	0	2	2	8	1	0	2	1	22	-11.0
Kam Jones	12:42	1	2	0.5	0	1	0.0	0	0	0.0	0	0	0	0	1	0	0	1	2	-14.0
Jarace Walker	30:29	6	9	0.7	1	3	0.3	2	2	1.0	1	8	9	1	1	1	2	1	15	+11.0
T.J. McConnell	14:07	4	6	0.7	0	1	0.0	0	0	0.0	0	2	2	6	1	0	0	0	8	+3.0
Micah Potter	16:14	3	5	0.6	2	4	0.5	0	0	0.0	1	4	5	1	0	0	0	0	8	+2.0
Ben Sheppard	15:55	2	4	0.5	2	4	0.5	0	0	0.0	0	1	1	1	0	0	1	3	6	+1.0

## Milwaukee Bucks — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
AJ Green	36:38	5	14	0.4	4	12	0.3	0	0	0.0	1	2	3	2	0	0	2	3	14	+9.0
Jericho Sims	31:00	2	3	0.7	0	0	0.0	0	1	0.0	4	11	15	4	0	2	0	3	4	+9.0
Myles Turner	26:52	4	10	0.4	1	5	0.2	0	0	0.0	4	6	10	2	0	0	2	1	9	+11.0
Kevin Porter Jr.	34:07	10	20	0.5	0	6	0.0	3	3	1.0	2	5	7	8	3	0	2	3	23	+3.0
Ryan Rollins	33:56	9	19	0.5	4	8	0.5	0	0	0.0	0	4	4	4	0	0	4	4	22	+6.0
Gary Trent Jr.	19:09	3	5	0.6	0	2	0.0	1	2	0.5	0	1	1	2	0	0	0	0	7	-5.0
Bobby Portis	26:02	9	18	0.5	3	7	0.4	0	0	0.0	1	5	6	1	0	0	1	1	21	-1.0
Pete Nance	18:01	2	3	0.7	1	1	1.0	0	0	0.0	0	1	1	1	1	0	0	0	5	-4.0
Gary Harris	14:15	0	3	0.0	0	2	0.0	0	0	0.0	1	0	1	2	0	0	0	1	0	+2.0
