## Los Angeles Clippers — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Kawhi Leonard	35:41	9	19	0.5	1	5	0.2	12	12	1.0	0	9	9	7	2	0	2	1	31	+19.0
John Collins	34:26	8	12	0.7	1	1	1.0	5	5	1.0	2	5	7	1	0	2	1	5	22	0.0
Brook Lopez	36:17	5	12	0.4	2	3	0.7	3	4	0.8	1	8	9	2	1	3	1	2	15	+12.0
Derrick Jones Jr.	27:28	5	7	0.7	1	2	0.5	2	3	0.7	0	3	3	0	2	0	1	3	13	+21.0
Kris Dunn	33:04	4	7	0.6	2	4	0.5	5	7	0.7	0	1	1	5	0	0	2	2	15	+21.0
Kobe Sanders	18:15	0	5	0.0	0	2	0.0	1	2	0.5	1	4	5	3	0	2	3	3	1	-14.0
Yanic Konan Niederhäuser	5:47	1	1	1.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	1	0	2	-1.0
Nicolas Batum	15:50	1	2	0.5	1	2	0.5	0	0	0.0	0	3	3	2	0	0	2	0	3	-13.0
Cam Christie	9:10	1	2	0.5	1	1	1.0	2	2	1.0	0	0	0	0	0	0	0	0	5	-20.0
Jordan Miller	24:01	3	4	0.8	0	1	0.0	1	1	1.0	1	2	3	2	1	0	2	2	7	-10.0

## Sacramento Kings — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
DeMar DeRozan	20:23	1	3	0.3	0	0	0.0	3	4	0.8	1	4	5	1	2	1	1	1	5	-4.0
De'Andre Hunter	24:34	1	8	0.1	0	5	0.0	4	4	1.0	1	0	1	0	0	0	3	0	6	+6.0
Maxime Raynaud	26:05	6	8	0.8	0	1	0.0	0	0	0.0	0	5	5	2	2	0	0	3	12	-5.0
Zach LaVine	18:16	2	6	0.3	0	3	0.0	2	2	1.0	0	2	2	4	1	1	0	1	6	-9.0
Russell Westbrook	19:55	2	8	0.2	0	4	0.0	2	3	0.7	0	3	3	5	0	0	2	2	6	-10.0
Nique Clifford	33:16	5	12	0.4	2	5	0.4	4	4	1.0	0	2	2	2	2	1	1	5	16	+2.0
Dylan Cardwell	31:01	7	11	0.6	0	0	0.0	0	0	0.0	8	6	14	1	1	2	2	1	14	+6.0
Malik Monk	22:21	6	13	0.5	6	9	0.7	0	0	0.0	0	2	2	2	1	0	1	2	18	0.0
Precious Achiuwa	8:07	2	4	0.5	0	2	0.0	2	2	1.0	2	2	4	1	0	1	0	1	6	+5.0
Devin Carter	21:55	6	14	0.4	0	5	0.0	2	3	0.7	0	4	4	4	1	0	1	3	14	-7.0
Daeqwon Plowden	14:06	3	5	0.6	2	3	0.7	0	0	0.0	0	0	0	0	0	0	0	3	8	+1.0
