## Memphis Grizzlies — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Jaylen Wells	27:21	5	11	0.5	2	8	0.2	1	5	0.2	0	3	3	4	0	1	1	0	13	-16.0
GG Jackson	27:06	4	8	0.5	3	5	0.6	4	4	1.0	2	1	3	2	1	1	1	1	15	+7.0
Olivier-Maxence Prosper	27:49	3	13	0.2	2	9	0.2	5	6	0.8	2	4	6	2	0	0	1	1	13	-12.0
Cedric Coward	25:01	5	8	0.6	1	3	0.3	0	0	0.0	1	7	8	1	3	0	4	1	11	-2.0
Scotty Pippen Jr.	22:02	4	8	0.5	1	2	0.5	4	4	1.0	1	2	3	6	1	0	2	4	13	-1.0
Javon Small	21:36	5	8	0.6	1	2	0.5	0	0	0.0	1	4	5	3	0	0	1	3	11	-13.0
Taylor Hendricks	20:54	2	7	0.3	1	3	0.3	0	0	0.0	2	3	5	0	1	0	1	2	5	-27.0
Cam Spencer	25:58	7	8	0.9	2	3	0.7	2	2	1.0	0	0	0	5	2	1	1	1	18	-19.0
Walter Clayton Jr.	22:02	5	11	0.5	1	3	0.3	0	0	0.0	0	3	3	4	1	0	3	2	11	-9.0
Jahmai Mashack	20:11	2	6	0.3	1	3	0.3	0	0	0.0	1	0	1	1	3	0	1	3	5	-8.0

## Portland Trail Blazers — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Toumani Camara	29:33	6	11	0.5	3	7	0.4	0	0	0.0	0	4	4	3	1	0	1	1	15	+13.0
Jerami Grant	28:01	8	15	0.5	3	6	0.5	4	4	1.0	0	2	2	2	1	1	1	1	23	+14.0
Donovan Clingan	25:25	6	10	0.6	0	3	0.0	1	1	1.0	7	10	17	0	0	0	2	3	13	+12.0
Shaedon Sharpe	13:55	0	2	0.0	0	1	0.0	2	2	1.0	0	2	2	2	0	0	1	0	2	-4.0
Jrue Holiday	24:57	6	12	0.5	1	4	0.2	7	7	1.0	1	4	5	7	2	0	1	2	20	+11.0
Scoot Henderson	21:16	4	10	0.4	2	7	0.3	1	2	0.5	0	5	5	9	1	0	5	4	11	+19.0
Robert Williams III	19:05	6	6	1.0	1	1	1.0	0	0	0.0	3	4	7	2	0	3	2	2	13	+18.0
Vít Krejčí	23:09	3	6	0.5	2	4	0.5	3	3	1.0	0	0	0	1	0	2	0	1	11	+16.0
Sidy Cissoko	24:51	3	6	0.5	1	2	0.5	2	2	1.0	1	0	1	2	2	1	0	2	9	+5.0
Blake Wesley	14:44	2	4	0.5	0	1	0.0	0	0	0.0	0	1	1	3	1	0	1	0	4	+1.0
Rayan Rupert	11:34	4	6	0.7	4	5	0.8	0	0	0.0	0	1	1	0	1	0	2	0	12	+5.0
Yang Hansen	3:30	1	2	0.5	0	1	0.0	0	0	0.0	0	1	1	0	0	0	2	1	2	-10.0
