## Miami Heat — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Pelle Larsson	11:37	0	0	0.0	0	0	0.0	0	0	0.0	0	5	5	3	0	0	2	2	0	+15.0
Andrew Wiggins	38:22	10	16	0.6	5	7	0.7	1	2	0.5	1	5	6	0	2	0	1	2	26	+5.0
Bam Adebayo	34:39	5	13	0.4	2	6	0.3	4	6	0.7	0	7	7	1	1	0	0	2	16	+8.0
Norman Powell	34:57	9	15	0.6	3	7	0.4	3	3	1.0	1	2	3	4	4	0	3	2	24	+1.0
Davion Mitchell	29:29	5	11	0.5	2	6	0.3	1	2	0.5	0	2	2	6	0	1	2	3	13	+5.0
Jaime Jaquez Jr.	31:02	4	9	0.4	1	3	0.3	2	3	0.7	1	6	7	7	0	0	2	2	11	-6.0
Dru Smith	18:31	1	4	0.2	0	1	0.0	0	0	0.0	3	1	4	1	0	0	1	1	2	-7.0
Simone Fontecchio	19:28	0	5	0.0	0	3	0.0	2	2	1.0	1	1	2	0	1	1	0	1	2	-8.0
Kel'el Ware	9:32	1	5	0.2	0	2	0.0	0	0	0.0	2	3	5	0	1	0	1	1	2	-2.0
Myron Gardner	6:00	0	1	0.0	0	1	0.0	0	0	0.0	1	0	1	0	0	0	0	2	0	-7.0
Nikola Jović	6:22	0	5	0.0	0	4	0.0	0	0	0.0	0	0	0	1	0	1	0	0	0	-14.0

## Boston Celtics — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Sam Hauser	35:18	1	7	0.1	0	6	0.0	0	0	0.0	1	2	3	2	1	1	0	2	2	+3.0
Luka Garza	10:09	1	1	1.0	0	0	0.0	0	0	0.0	0	3	3	0	0	0	0	1	2	-7.0
Neemias Queta	21:49	1	2	0.5	0	0	0.0	0	0	0.0	4	7	11	1	0	0	2	4	2	-6.0
Jaylen Brown	33:05	11	25	0.4	1	7	0.1	6	10	0.6	1	6	7	2	0	1	7	2	29	-16.0
Derrick White	41:16	6	20	0.3	4	12	0.3	5	5	1.0	1	2	3	5	1	4	0	1	21	+6.0
Nikola Vučević	27:53	4	8	0.5	0	1	0.0	3	4	0.8	6	6	12	4	2	0	2	1	11	+11.0
Payton Pritchard	35:37	8	15	0.5	4	6	0.7	4	4	1.0	0	1	1	1	1	0	2	3	24	+4.0
Hugo González	16:13	1	2	0.5	0	1	0.0	0	0	0.0	0	3	3	0	1	0	1	2	2	-2.0
Baylor Scheierman	18:38	2	4	0.5	1	3	0.3	0	0	0.0	0	7	7	2	1	1	0	0	5	+17.0
