## New Orleans Pelicans — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Saddiq Bey	34:17	10	21	0.5	3	10	0.3	7	7	1.0	1	8	9	5	1	0	1	1	30	+4.0
Zion Williamson	31:56	11	13	0.8	0	0	0.0	7	9	0.8	1	3	4	1	0	0	3	2	29	+7.0
Derik Queen	32:34	6	11	0.5	4	4	1.0	1	2	0.5	1	7	8	3	0	1	0	4	17	-5.0
Trey Murphy III	37:20	9	15	0.6	6	10	0.6	2	2	1.0	1	5	6	5	0	1	3	3	26	+9.0
Herbert Jones	22:38	1	4	0.2	0	3	0.0	0	0	0.0	0	4	4	5	3	0	4	3	2	0.0
Jeremiah Fears	27:59	1	7	0.1	0	3	0.0	0	0	0.0	0	1	1	4	0	1	4	3	2	+5.0
Karlo Matković	7:23	0	0	0.0	0	0	0.0	0	0	0.0	0	2	2	1	0	0	0	1	0	-11.0
Bryce McGowens	27:47	4	6	0.7	2	3	0.7	1	2	0.5	0	1	1	4	0	1	0	3	11	+2.0
Yves Missi	15:22	1	2	0.5	0	0	0.0	0	0	0.0	2	2	4	1	1	1	0	0	2	+9.0
Micah Peavy	2:43	0	1	0.0	0	1	0.0	0	0	0.0	0	0	0	0	0	0	1	0	0	0.0

## Minnesota Timberwolves — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Jaden McDaniels	21:53	2	8	0.2	0	3	0.0	2	2	1.0	1	0	1	2	0	0	2	5	6	+1.0
Julius Randle	36:54	9	18	0.5	0	5	0.0	6	6	1.0	3	5	8	7	0	1	0	3	24	-3.0
Rudy Gobert	33:03	5	12	0.4	0	0	0.0	2	4	0.5	7	9	16	2	3	2	0	2	12	+3.0
Anthony Edwards	37:21	11	22	0.5	5	9	0.6	8	9	0.9	3	2	5	4	0	2	1	1	35	-12.0
Donte DiVincenzo	25:49	2	10	0.2	2	7	0.3	0	0	0.0	0	3	3	2	1	0	2	2	6	-6.0
Bones Hyland	30:25	6	11	0.5	4	8	0.5	4	4	1.0	1	2	3	2	1	0	1	1	20	-5.0
Naz Reid	25:12	3	9	0.3	1	5	0.2	0	0	0.0	0	3	3	3	2	1	2	1	7	+1.0
Jaylen Clark	14:04	0	2	0.0	0	1	0.0	0	0	0.0	4	1	5	0	0	0	0	2	0	+2.0
Joan Beringer	5:10	1	1	1.0	0	0	0.0	0	1	0.0	1	1	2	0	0	0	1	1	2	-4.0
Johnny Juzang	10:08	1	2	0.5	1	2	0.5	0	0	0.0	0	1	1	0	0	1	0	0	3	+3.0
