## New York Knicks — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Josh Hart	25:17	2	7	0.3	1	2	0.5	0	0	0.0	0	6	6	2	0	0	1	1	5	-9.0
Mohamed Diawara	20:39	2	5	0.4	0	3	0.0	0	0	0.0	0	2	2	0	0	1	1	0	4	-14.0
Mitchell Robinson	20:09	2	2	1.0	0	0	0.0	0	0	0.0	0	3	3	0	0	0	0	3	4	-14.0
Mikal Bridges	27:42	7	16	0.4	3	7	0.4	2	3	0.7	0	1	1	2	0	0	3	2	19	-28.0
Jalen Brunson	31:07	4	20	0.2	0	8	0.0	4	6	0.7	0	4	4	4	2	0	0	2	12	-24.0
Kevin McCullar Jr.	19:46	1	3	0.3	0	1	0.0	0	0	0.0	0	2	2	2	1	0	3	3	2	-14.0
Landry Shamet	21:11	2	7	0.3	1	5	0.2	0	0	0.0	2	0	2	3	0	0	0	2	5	-21.0
Ariel Hukporti	22:00	2	4	0.5	0	0	0.0	2	2	1.0	2	5	7	1	0	0	0	0	6	-22.0
Jordan Clarkson	19:22	3	6	0.5	1	1	1.0	4	4	1.0	4	0	4	5	0	0	2	2	11	-23.0
Tyler Kolek	19:37	2	6	0.3	1	3	0.3	0	0	0.0	1	2	3	3	1	0	2	0	5	-15.0
Pacôme Dadiet	7:17	1	4	0.2	1	3	0.3	2	2	1.0	1	0	1	0	1	0	0	0	5	-4.0
Trey Jemison III	5:51	1	2	0.5	0	0	0.0	0	0	0.0	0	0	0	0	1	0	1	0	2	-2.0

## Detroit Pistons — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Ausar Thompson	23:47	1	3	0.3	0	0	0.0	0	0	0.0	0	3	3	1	2	3	1	1	2	+11.0
Tobias Harris	25:51	5	11	0.5	3	6	0.5	2	2	1.0	1	5	6	1	0	0	1	1	15	+21.0
Isaiah Stewart	21:13	6	7	0.9	1	2	0.5	2	2	1.0	2	1	3	0	1	0	2	4	15	+6.0
Duncan Robinson	19:57	3	8	0.4	3	7	0.4	0	0	0.0	0	4	4	2	1	0	1	1	9	+7.0
Cade Cunningham	21:59	4	11	0.4	1	3	0.3	2	3	0.7	1	4	5	7	0	0	2	4	11	+9.0
Ronald Holland II	21:18	1	4	0.2	0	3	0.0	3	4	0.8	0	6	6	3	2	0	1	1	5	+28.0
Paul Reed	26:47	4	8	0.5	1	3	0.3	3	3	1.0	1	5	6	4	1	1	0	4	12	+32.0
Caris LeVert	18:25	3	5	0.6	2	3	0.7	0	0	0.0	0	1	1	6	0	0	0	1	8	+27.0
Daniss Jenkins	18:02	7	11	0.6	3	6	0.5	1	1	1.0	1	3	4	3	0	0	1	2	18	+23.0
Javonte Green	13:31	3	3	1.0	2	2	1.0	0	0	0.0	1	2	3	0	2	0	0	0	8	+12.0
Marcus Sasser	9:33	0	2	0.0	0	1	0.0	0	0	0.0	0	0	0	2	0	0	2	0	0	+4.0
Kevin Huerter	7:59	4	6	0.7	0	2	0.0	0	0	0.0	0	0	0	1	1	1	1	1	8	+6.0
Chaz Lanier	5:51	3	4	0.8	1	2	0.5	0	0	0.0	1	1	2	1	0	0	0	1	7	+2.0
Wendell Moore Jr.	5:44	0	0	0.0	0	0	0.0	0	0	0.0	0	1	1	0	0	1	0	0	0	+2.0
