## Charlotte Hornets — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Kon Knueppel	35:45	8	15	0.5	6	11	0.5	1	1	1.0	2	6	8	4	0	1	2	1	23	+12.0
Miles Bridges	34:22	10	14	0.7	1	4	0.2	5	5	1.0	1	5	6	5	1	0	3	3	26	-1.0
Moussa Diabaté	32:11	4	8	0.5	0	1	0.0	3	3	1.0	5	10	15	2	0	0	0	0	11	+2.0
Brandon Miller	35:16	5	19	0.3	3	8	0.4	3	3	1.0	1	5	6	4	1	1	4	4	16	+1.0
LaMelo Ball	31:26	7	20	0.3	2	8	0.2	3	3	1.0	1	0	1	9	2	0	2	2	19	-6.0
Josh Green	12:32	3	4	0.8	2	3	0.7	0	0	0.0	0	1	1	0	0	0	0	0	8	-6.0
Sion James	17:21	1	3	0.3	1	1	1.0	0	0	0.0	2	1	3	4	1	0	0	4	3	+19.0
Ryan Kalkbrenner	15:04	3	6	0.5	0	0	0.0	0	0	0.0	4	1	5	0	0	0	2	0	6	+7.0
Tre Mann	10:15	1	2	0.5	1	1	1.0	0	0	0.0	0	1	1	2	0	1	2	1	3	+3.0
Grant Williams	15:45	4	4	1.0	2	2	1.0	1	1	1.0	0	3	3	1	0	0	0	1	11	+4.0

## Atlanta Hawks — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Zaccharie Risacher	23:29	7	10	0.7	4	4	1.0	0	0	0.0	0	3	3	0	0	3	0	0	18	+2.0
Jalen Johnson	39:54	10	18	0.6	2	5	0.4	9	11	0.8	0	9	9	8	3	0	2	4	31	+3.0
Onyeka Okongwu	30:51	6	11	0.5	4	7	0.6	0	0	0.0	0	6	6	2	0	2	1	5	16	+6.0
Dyson Daniels	31:05	5	13	0.4	0	1	0.0	1	1	1.0	3	3	6	3	2	0	1	1	11	-17.0
Nickeil Alexander-Walker	37:37	3	15	0.2	2	8	0.2	5	5	1.0	0	2	2	10	1	1	1	4	13	+13.0
CJ McCollum	28:20	5	8	0.6	2	4	0.5	0	0	0.0	1	0	1	3	1	0	1	2	12	+4.0
Corey Kispert	23:28	3	8	0.4	2	5	0.4	0	0	0.0	0	2	2	2	0	0	4	2	8	-23.0
Jock Landale	17:09	2	3	0.7	1	2	0.5	0	0	0.0	0	0	0	1	0	0	0	0	5	-13.0
Asa Newell	8:05	2	2	1.0	1	1	1.0	0	0	0.0	1	0	1	1	2	0	0	2	5	-10.0
