## Cleveland Cavaliers — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Sam Merrill	23:54	0	6	0.0	0	5	0.0	2	2	1.0	0	1	1	2	0	0	1	2	2	-8.0
Jaylon Tyson	27:17	3	8	0.4	0	1	0.0	4	4	1.0	3	3	6	0	0	0	3	1	10	-27.0
Jarrett Allen	32:43	11	12	0.9	0	0	0.0	7	8	0.9	1	9	10	1	0	0	1	0	29	-18.0
James Harden	32:11	7	13	0.5	5	8	0.6	4	4	1.0	0	2	2	8	1	0	3	1	23	-14.0
Donovan Mitchell	34:39	13	24	0.5	2	8	0.2	7	7	1.0	1	1	2	4	2	2	3	4	35	+12.0
Craig Porter Jr.	22:48	1	3	0.3	0	1	0.0	2	4	0.5	1	2	3	4	2	0	0	1	4	+3.0
Nae'Qwan Tomlin	16:49	3	4	0.8	0	0	0.0	0	0	0.0	2	3	5	2	0	0	0	2	6	+16.0
Thomas Bryant	15:17	3	5	0.6	2	4	0.5	2	2	1.0	0	3	3	2	1	0	0	1	10	+24.0
Dennis Schröder	17:00	3	9	0.3	0	4	0.0	1	1	1.0	0	3	3	4	0	0	0	1	7	+22.0
Keon Ellis	17:22	2	4	0.5	2	4	0.5	0	0	0.0	1	2	3	3	3	1	0	1	6	+20.0

## Sacramento Kings — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
DeMar DeRozan	29:38	4	16	0.2	2	4	0.5	3	3	1.0	0	2	2	3	0	1	0	1	13	-8.0
Daeqwon Plowden	39:27	6	11	0.5	2	7	0.3	2	2	1.0	6	0	6	4	1	0	2	4	16	+7.0
Maxime Raynaud	22:45	5	8	0.6	0	0	0.0	4	4	1.0	1	6	7	0	2	0	2	1	14	+1.0
Nique Clifford	39:50	12	19	0.6	5	9	0.6	1	2	0.5	1	3	4	4	2	2	2	3	30	+5.0
Russell Westbrook	31:56	8	14	0.6	5	10	0.5	0	2	0.0	1	4	5	9	0	0	7	2	21	-6.0
Devin Carter	27:14	6	13	0.5	2	5	0.4	4	5	0.8	2	2	4	4	1	1	1	3	18	-4.0
Dylan Cardwell	25:15	6	9	0.7	0	0	0.0	0	0	0.0	4	7	11	4	1	1	1	4	12	-7.0
Precious Achiuwa	15:45	1	3	0.3	0	1	0.0	0	2	0.0	0	2	2	2	2	0	0	2	2	-7.0
Doug McDermott	8:10	0	1	0.0	0	1	0.0	0	0	0.0	0	1	1	0	0	0	0	1	0	-11.0
