## Dallas Mavericks — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Cooper Flagg	26:24	5	12	0.4	2	3	0.7	2	2	1.0	1	3	4	4	0	0	2	1	14	-31.0
Caleb Martin	24:01	5	10	0.5	1	2	0.5	0	0	0.0	2	3	5	2	0	0	1	1	11	+1.0
Daniel Gafford	18:21	3	5	0.6	0	0	0.0	3	4	0.8	0	4	4	2	0	0	0	5	9	0.0
Max Christie	26:58	6	11	0.5	3	7	0.4	2	2	1.0	0	3	3	3	1	0	0	2	17	-23.0
Naji Marshall	25:17	1	8	0.1	0	2	0.0	4	4	1.0	0	3	3	5	3	0	1	2	6	-8.0
Marvin Bagley III	24:23	6	14	0.4	1	1	1.0	3	7	0.4	8	4	12	2	1	4	0	1	16	-19.0
P.J. Washington	22:38	4	10	0.4	2	5	0.4	0	0	0.0	0	5	5	3	1	0	0	3	10	-10.0
Brandon Williams	23:38	8	12	0.7	2	2	1.0	0	0	0.0	1	2	3	4	1	0	1	0	18	-10.0
Klay Thompson	19:25	6	14	0.4	4	10	0.4	3	3	1.0	0	1	1	2	2	0	2	0	19	+9.0
Tyus Jones	16:35	2	4	0.5	0	2	0.0	0	0	0.0	0	0	0	7	0	0	0	1	4	+18.0
AJ Johnson	7:22	0	4	0.0	0	2	0.0	0	0	0.0	0	0	0	1	0	0	0	0	0	+4.0
Dwight Powell	4:57	0	1	0.0	0	1	0.0	1	2	0.5	0	1	1	0	1	0	0	0	1	+4.0

## San Antonio Spurs — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Julian Champagnie	15:04	2	2	1.0	1	1	1.0	0	0	0.0	1	1	2	0	1	1	0	2	5	+5.0
Devin Vassell	29:46	7	15	0.5	1	4	0.2	2	2	1.0	1	3	4	6	0	1	1	1	17	+31.0
Victor Wembanyama	26:43	6	14	0.4	1	6	0.2	3	4	0.8	3	8	11	1	0	3	0	1	16	+3.0
De'Aaron Fox	26:14	7	13	0.5	1	4	0.2	0	0	0.0	0	2	2	5	0	0	3	2	15	+11.0
Stephon Castle	31:51	15	19	0.8	3	5	0.6	7	10	0.7	2	10	12	12	3	1	6	2	40	+30.0
Dylan Harper	22:57	5	8	0.6	1	1	1.0	0	0	0.0	0	4	4	5	1	1	1	2	11	+14.0
Luke Kornet	16:20	3	3	1.0	0	0	0.0	0	0	0.0	2	2	4	3	0	0	0	1	6	+14.0
Keldon Johnson	16:04	3	5	0.6	0	2	0.0	2	2	1.0	0	4	4	0	0	0	4	2	8	-13.0
Harrison Barnes	22:03	3	6	0.5	3	5	0.6	0	2	0.0	1	0	1	1	0	0	0	0	9	-12.0
Carter Bryant	17:08	4	11	0.4	3	7	0.4	0	0	0.0	1	4	5	0	0	3	0	2	11	+6.0
Kelly Olynyk	4:57	0	1	0.0	0	0	0.0	0	0	0.0	0	2	2	1	0	0	1	1	0	-4.0
Jordan McLaughlin	3:45	0	1	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	-6.0
Jeremy Sochan	3:45	0	1	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	1	0	0	0	-6.0
Bismack Biyombo	3:23	0	0	0.0	0	0	0.0	0	0	0.0	1	0	1	0	0	0	0	1	0	-8.0
