## Denver Nuggets — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Julian Strawther	33:26	7	14	0.5	4	8	0.5	1	2	0.5	0	5	5	0	2	0	3	3	19	+14.0
Cameron Johnson	27:15	6	9	0.7	2	3	0.7	0	0	0.0	0	4	4	1	0	0	0	2	14	+21.0
Nikola Jokić	33:24	7	12	0.6	2	2	1.0	6	6	1.0	3	11	14	17	1	4	3	2	22	+36.0
Christian Braun	31:41	4	6	0.7	0	0	0.0	2	4	0.5	2	2	4	2	1	1	1	1	10	+20.0
Jamal Murray	30:57	11	18	0.6	4	9	0.4	2	2	1.0	0	3	3	11	0	0	3	1	28	0.0
Tim Hardaway Jr.	28:30	6	11	0.5	3	8	0.4	8	12	0.7	0	3	3	1	0	0	1	1	23	+9.0
Bruce Brown	30:54	3	5	0.6	1	2	0.5	3	4	0.8	3	0	3	4	3	1	1	3	10	+8.0
Jonas Valančiūnas	12:41	5	8	0.6	0	0	0.0	0	3	0.0	2	2	4	1	0	1	1	3	10	-15.0
Jalen Pickett	7:55	0	1	0.0	0	1	0.0	0	0	0.0	0	0	0	0	0	0	0	1	0	-6.0
Zeke Nnaji	1:54	0	1	0.0	0	0	0.0	0	0	0.0	1	0	1	0	0	0	0	0	0	-5.0
DaRon Holmes II	1:22	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	-2.0

## Chicago Bulls — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Isaac Okoro	25:51	5	11	0.5	2	6	0.3	1	1	1.0	1	1	2	3	1	0	1	2	13	-14.0
Matas Buzelis	30:20	7	13	0.5	4	8	0.5	3	4	0.8	0	8	8	3	1	0	3	3	21	-19.0
Guerschon Yabusele	26:06	4	13	0.3	4	10	0.4	0	0	0.0	0	2	2	0	1	2	1	3	12	-5.0
Jaden Ivey	30:10	3	7	0.4	2	5	0.4	2	2	1.0	2	4	6	3	2	0	3	4	10	-27.0
Anfernee Simons	32:29	5	15	0.3	3	10	0.3	2	2	1.0	2	2	4	6	0	0	0	3	15	-6.0
Collin Sexton	28:37	6	14	0.4	1	5	0.2	4	4	1.0	1	2	3	4	0	0	4	4	17	-7.0
Patrick Williams	20:03	3	4	0.8	2	3	0.7	0	0	0.0	2	0	2	2	1	0	0	0	8	-2.0
Nick Richards	19:22	5	8	0.6	1	1	1.0	4	5	0.8	3	4	7	0	1	1	1	3	15	-13.0
Rob Dillingham	21:57	3	7	0.4	1	3	0.3	2	2	1.0	1	2	3	4	1	0	3	2	9	+9.0
Leonard Miller	2:32	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	1	0	0	0	0	+2.0
Lachlan Olbrich	2:32	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	+2.0
