## Golden State Warriors — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Moses Moody	39:13	8	17	0.5	5	14	0.4	4	5	0.8	1	3	4	2	3	1	0	4	25	+5.0
Gui Santos	26:19	6	12	0.5	1	4	0.2	2	4	0.5	2	6	8	3	1	0	0	5	15	-4.0
Draymond Green	33:24	3	9	0.3	2	6	0.3	1	2	0.5	0	4	4	6	1	0	2	5	9	+11.0
De'Anthony Melton	23:36	2	10	0.2	1	6	0.2	0	0	0.0	0	0	0	1	5	0	3	1	5	-13.0
Pat Spencer	28:09	6	12	0.5	2	5	0.4	0	0	0.0	1	4	5	7	1	0	1	3	14	0.0
Gary Payton II	18:15	6	8	0.8	1	2	0.5	0	0	0.0	3	2	5	1	2	0	1	3	13	-4.0
Brandin Podziemski	33:29	6	15	0.4	2	7	0.3	0	0	0.0	3	3	6	4	2	0	1	1	14	+5.0
Al Horford	22:34	2	6	0.3	0	4	0.0	0	0	0.0	0	4	4	0	1	2	3	0	4	-11.0
Will Richard	10:22	0	2	0.0	0	2	0.0	0	0	0.0	0	0	0	1	0	0	1	1	0	-13.0
Quinten Post	4:38	0	1	0.0	0	1	0.0	0	0	0.0	0	1	1	0	0	0	0	2	0	-6.0

## Los Angeles Lakers — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
LeBron James	35:05	6	17	0.4	2	7	0.3	6	7	0.9	0	7	7	10	1	1	7	1	20	+7.0
Rui Hachimura	28:22	7	10	0.7	4	5	0.8	0	0	0.0	0	1	1	0	0	1	1	0	18	-6.0
Jaxson Hayes	20:02	3	4	0.8	0	0	0.0	0	1	0.0	1	3	4	1	1	1	0	1	6	-6.0
Jake LaRavia	27:28	1	5	0.2	0	3	0.0	0	0	0.0	1	3	4	1	0	2	4	1	2	+2.0
Marcus Smart	32:32	3	7	0.4	1	2	0.5	8	9	0.9	0	3	3	4	0	2	1	1	15	+7.0
Austin Reaves	23:57	5	10	0.5	0	2	0.0	6	7	0.9	1	4	5	8	2	1	5	2	16	-1.0
Jarred Vanderbilt	18:32	4	6	0.7	2	3	0.7	3	4	0.8	0	8	8	2	2	1	1	2	13	+11.0
Luke Kennard	26:04	4	7	0.6	2	4	0.5	0	0	0.0	0	2	2	2	1	0	2	2	10	+4.0
Maxi Kleber	27:58	2	3	0.7	0	1	0.0	1	2	0.5	2	5	7	1	0	1	1	4	5	+12.0
