## Utah Jazz — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Lauri Markkanen	26:52	12	21	0.6	3	6	0.5	0	0	0.0	3	4	7	1	0	1	3	3	27	+2.0
Jaren Jackson Jr.	25:06	9	17	0.5	2	5	0.4	2	2	1.0	1	3	4	3	3	0	3	4	22	+6.0
Jusuf Nurkić	23:42	1	2	0.5	0	1	0.0	1	2	0.5	1	13	14	6	1	1	4	3	3	0.0
Ace Bailey	30:53	4	11	0.4	1	4	0.2	1	2	0.5	1	2	3	3	1	0	5	2	10	-13.0
Keyonte George	13:26	1	5	0.2	0	2	0.0	3	3	1.0	0	1	1	1	1	0	1	1	5	0.0
Cody Williams	13:34	0	0	0.0	0	0	0.0	0	0	0.0	0	2	2	0	1	0	1	3	0	-10.0
Isaiah Collier	31:34	9	15	0.6	0	3	0.0	2	3	0.7	0	2	2	10	2	0	5	2	20	-5.0
Kevin Love	12:18	3	3	1.0	3	3	1.0	4	4	1.0	2	4	6	0	0	0	0	0	13	+7.0
John Konchar	17:55	2	4	0.5	0	1	0.0	0	0	0.0	2	5	7	3	1	1	1	2	4	-2.0
Brice Sensabaugh	23:24	1	9	0.1	0	3	0.0	2	2	1.0	0	3	3	2	1	0	0	0	4	+10.0
Vince Williams Jr.	9:15	0	1	0.0	0	1	0.0	0	0	0.0	0	0	0	1	0	1	0	2	0	0.0
Kyle Filipowski	12:00	2	4	0.5	1	2	0.5	4	5	0.8	2	3	5	0	0	0	1	3	9	-10.0

## Orlando Magic — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Desmond Bane	35:35	6	14	0.4	2	5	0.4	8	10	0.8	1	2	3	2	1	0	3	3	22	+10.0
Paolo Banchero	38:03	6	17	0.4	2	7	0.3	9	12	0.8	0	7	7	8	3	1	5	0	23	-2.0
Wendell Carter Jr.	28:25	2	3	0.7	0	1	0.0	4	4	1.0	0	6	6	1	1	1	2	2	8	+7.0
Anthony Black	38:03	8	19	0.4	1	7	0.1	4	4	1.0	1	2	3	4	4	1	2	3	21	-2.0
Jalen Suggs	34:24	4	11	0.4	2	7	0.3	2	4	0.5	0	7	7	6	4	2	2	3	12	+13.0
Jase Richardson	13:36	1	1	1.0	1	1	1.0	2	2	1.0	0	0	0	2	1	0	0	2	5	-10.0
Tristan da Silva	19:58	3	6	0.5	2	5	0.4	0	0	0.0	0	2	2	2	0	0	0	1	8	-1.0
Moritz Wagner	17:02	4	8	0.5	3	5	0.6	2	2	1.0	1	7	8	0	0	0	0	2	13	+1.0
Noah Penda	9:57	2	2	1.0	0	0	0.0	2	2	1.0	0	2	2	0	0	1	0	0	6	+5.0
Jonathan Isaac	2:33	0	2	0.0	0	2	0.0	0	0	0.0	0	0	0	0	0	1	0	0	0	-5.0
Jett Howard	2:24	0	1	0.0	0	1	0.0	2	3	0.7	0	0	0	1	1	0	0	1	2	-1.0
