## Washington Wizards — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Justin Champagnie	22:06	5	8	0.6	1	2	0.5	10	10	1.0	3	6	9	2	0	2	3	0	21	+4.0
Will Riley	45:10	10	19	0.5	4	6	0.7	3	4	0.8	1	2	3	2	3	1	1	4	27	-12.0
Tristan Vukcevic	20:24	6	12	0.5	1	4	0.2	1	1	1.0	0	2	2	2	1	0	1	3	14	-2.0
Jamir Watkins	45:10	4	12	0.3	1	6	0.2	4	4	1.0	0	1	1	1	1	2	1	5	13	-12.0
Bub Carrington	22:06	4	10	0.4	2	5	0.4	1	1	1.0	0	2	2	4	0	0	3	2	11	+4.0
Sharife Cooper	28:44	5	8	0.6	2	3	0.7	2	2	1.0	0	5	5	3	0	0	2	2	14	-20.0
Anthony Gill	27:36	3	8	0.4	0	3	0.0	3	4	0.8	1	4	5	2	1	0	0	3	9	-12.0
Keshon Gilbert	28:44	0	2	0.0	0	1	0.0	4	4	1.0	0	3	3	2	0	3	4	2	4	-20.0

## Brooklyn Nets — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Michael Porter Jr.	30:30	8	16	0.5	3	10	0.3	4	4	1.0	2	4	6	3	1	0	3	3	23	-8.0
Noah Clowney	27:11	5	10	0.5	4	8	0.5	4	6	0.7	1	2	3	2	1	1	1	3	18	-14.0
Nic Claxton	28:22	4	6	0.7	0	0	0.0	3	6	0.5	2	3	5	4	0	0	1	1	11	-12.0
Egor Dëmin	25:32	2	8	0.2	0	5	0.0	0	0	0.0	0	2	2	2	1	1	1	1	4	-10.0
Nolan Traore	23:37	6	7	0.9	2	3	0.7	1	1	1.0	0	3	3	4	0	0	1	5	15	-18.0
Ben Saraf	24:23	4	10	0.4	1	3	0.3	1	1	1.0	1	3	4	4	2	0	1	1	10	+32.0
Drake Powell	22:28	2	7	0.3	1	4	0.2	0	0	0.0	0	2	2	2	0	1	0	2	5	+24.0
Terance Mann	18:41	3	5	0.6	0	1	0.0	0	0	0.0	1	3	4	5	1	0	2	1	6	+26.0
Day'Ron Sharpe	19:38	9	11	0.8	0	0	0.0	1	1	1.0	4	5	9	4	2	0	3	4	19	+26.0
Danny Wolf	19:38	7	11	0.6	2	4	0.5	0	0	0.0	2	5	7	6	0	0	0	1	16	+24.0
