## Indiana Pacers — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Johnny Furphy	15:26	2	3	0.7	0	0	0.0	0	0	0.0	0	2	2	3	0	0	1	3	4	-3.0
Pascal Siakam	24:12	7	15	0.5	1	3	0.3	3	4	0.8	1	3	4	2	0	0	2	0	18	-14.0
Jay Huff	30:00	5	10	0.5	2	5	0.4	3	3	1.0	1	6	7	2	2	2	1	4	15	-9.0
Aaron Nesmith	23:28	2	4	0.5	1	2	0.5	2	3	0.7	0	1	1	1	1	0	0	1	7	-15.0
Andrew Nembhard	25:29	4	18	0.2	1	6	0.2	1	1	1.0	0	3	3	2	2	0	4	2	10	-29.0
Jarace Walker	27:52	4	14	0.3	2	5	0.4	3	3	1.0	2	4	6	2	1	0	4	3	13	-13.0
Kam Jones	25:02	3	5	0.6	1	3	0.3	0	0	0.0	1	0	1	1	0	0	0	2	7	-10.0
T.J. McConnell	15:43	5	5	1.0	0	0	0.0	0	0	0.0	0	3	3	7	0	1	4	2	10	+7.0
Micah Potter	25:56	3	4	0.8	2	3	0.7	0	0	0.0	2	6	8	2	0	0	1	3	8	0.0
Ben Sheppard	26:51	5	11	0.5	2	6	0.3	0	0	0.0	0	5	5	4	0	0	2	4	12	-4.0

## Toronto Raptors — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Brandon Ingram	26:02	5	12	0.4	0	3	0.0	3	4	0.8	1	4	5	3	0	1	2	2	13	+15.0
Scottie Barnes	33:01	12	20	0.6	0	0	0.0	1	1	1.0	2	12	14	6	2	4	1	3	25	+22.0
Collin Murray-Boyles	8:13	1	1	1.0	0	0	0.0	0	0	0.0	0	0	0	0	0	1	1	1	2	+5.0
RJ Barrett	31:47	7	15	0.5	2	5	0.4	4	7	0.6	2	6	8	5	1	0	3	2	20	+31.0
Immanuel Quickley	28:08	5	9	0.6	3	6	0.5	0	0	0.0	0	4	4	6	1	0	0	1	13	+29.0
Sandro Mamukelashvili	21:39	6	9	0.7	3	5	0.6	2	2	1.0	1	3	4	1	1	0	0	1	17	+2.0
Jamal Shead	19:12	1	4	0.2	1	3	0.3	3	4	0.8	0	0	0	4	0	0	2	2	6	-12.0
Gradey Dick	15:32	3	6	0.5	0	1	0.0	2	2	1.0	1	0	1	1	3	0	1	0	8	-3.0
Ja'Kobe Walter	27:15	2	7	0.3	2	3	0.7	0	0	0.0	1	3	4	2	2	1	0	5	6	+13.0
Trayce Jackson-Davis	15:31	2	4	0.5	0	0	0.0	6	10	0.6	8	2	10	1	1	1	0	0	10	-3.0
Jamison Battle	7:25	0	4	0.0	0	3	0.0	0	0	0.0	1	1	2	0	0	0	0	1	0	-2.0
Jonathan Mogbo	0:05	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	-2.0
Alijah Martin	3:39	1	4	0.2	0	1	0.0	0	0	0.0	0	1	1	0	1	0	0	1	2	-4.0
A.J. Lawson	2:29	0	0	0.0	0	0	0.0	0	0	0.0	0	1	1	0	0	0	0	0	0	-1.0
