## Miami Heat — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Myron Gardner	21:00	4	9	0.4	2	3	0.7	0	0	0.0	3	4	7	6	2	0	2	3	10	0.0
Andrew Wiggins	23:25	4	11	0.4	3	6	0.5	0	0	0.0	5	5	10	2	2	1	0	0	11	+1.0
Bam Adebayo	28:07	9	15	0.6	2	6	0.3	2	2	1.0	1	7	8	3	5	0	2	1	22	+41.0
Norman Powell	25:00	5	12	0.4	5	10	0.5	6	8	0.8	1	3	4	0	1	0	1	3	21	+7.0
Davion Mitchell	24:55	2	6	0.3	1	3	0.3	0	0	0.0	0	2	2	3	1	0	3	2	5	+16.0
Jaime Jaquez Jr.	23:31	2	12	0.2	0	4	0.0	0	0	0.0	4	0	4	6	0	1	6	1	4	+9.0
Kel'el Ware	29:49	8	13	0.6	1	3	0.3	2	2	1.0	2	12	14	1	0	1	0	3	19	+22.0
Simone Fontecchio	19:04	4	8	0.5	1	3	0.3	3	3	1.0	2	3	5	3	3	0	1	0	12	+33.0
Kasparas Jakučionis	25:57	8	10	0.8	6	6	1.0	0	0	0.0	1	2	3	6	2	1	1	4	22	+27.0
Jahmir Young	8:00	1	4	0.2	0	1	0.0	0	0	0.0	1	0	1	0	0	0	0	0	2	-1.0
Nikola Jović	5:36	2	3	0.7	0	1	0.0	0	0	0.0	1	0	1	2	1	0	0	1	4	0.0
Dru Smith	5:36	0	1	0.0	0	1	0.0	0	0	0.0	0	1	1	2	1	0	0	1	0	0.0

## Washington Wizards — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Justin Champagnie	24:54	4	11	0.4	1	5	0.2	4	4	1.0	3	4	7	1	1	0	0	0	13	-8.0
Kyshawn George	19:06	4	12	0.3	3	6	0.5	2	2	1.0	0	2	2	3	0	1	2	1	13	-4.0
Alex Sarr	25:49	6	13	0.5	0	1	0.0	0	2	0.0	0	12	12	5	1	0	1	5	12	-5.0
Bub Carrington	28:39	6	13	0.5	1	6	0.2	0	0	0.0	0	2	2	5	1	0	3	0	13	-9.0
Bilal Coulibaly	33:30	2	7	0.3	1	4	0.2	2	2	1.0	0	4	4	1	1	1	4	4	7	-4.0
Will Riley	20:52	4	10	0.4	1	4	0.2	0	0	0.0	0	1	1	0	1	1	3	0	9	-26.0
Jamir Watkins	33:25	5	10	0.5	1	4	0.2	1	3	0.3	3	4	7	2	1	2	0	1	12	-33.0
Sharife Cooper	20:26	3	5	0.6	0	0	0.0	2	3	0.7	0	1	1	3	1	0	2	0	8	-28.0
Tristan Vukcevic	19:54	5	11	0.5	4	5	0.8	0	0	0.0	3	2	5	2	0	0	4	0	14	-17.0
Keshon Gilbert	13:25	0	1	0.0	0	1	0.0	0	0	0.0	1	0	1	1	0	1	0	1	0	-21.0
