## New York Knicks — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Mikal Bridges	30:24	5	10	0.5	1	3	0.3	3	3	1.0	1	3	4	1	0	1	0	0	14	+2.0
Josh Hart	26:20	7	14	0.5	2	6	0.3	3	4	0.8	0	6	6	3	0	0	1	4	19	+10.0
Karl-Anthony Towns	29:24	3	9	0.3	0	2	0.0	5	6	0.8	0	10	10	1	1	0	3	3	11	+10.0
Landry Shamet	27:48	1	5	0.2	1	4	0.2	0	0	0.0	1	3	4	3	1	0	0	2	3	-1.0
Jalen Brunson	33:13	12	21	0.6	4	8	0.5	3	3	1.0	1	2	3	8	0	0	3	1	31	+20.0
Mohamed Diawara	26:30	4	4	1.0	2	2	1.0	0	0	0.0	0	3	3	1	1	0	0	3	10	+22.0
Jordan Clarkson	7:32	0	1	0.0	0	0	0.0	0	0	0.0	2	0	2	1	0	1	0	0	0	+9.0
Mitchell Robinson	15:58	1	2	0.5	0	0	0.0	3	8	0.4	2	7	9	2	0	0	0	1	5	+15.0
Jose Alvarado	25:04	5	12	0.4	2	6	0.3	0	0	0.0	0	2	2	2	2	1	1	2	12	+13.0
Kevin McCullar Jr.	3:49	0	2	0.0	0	1	0.0	0	0	0.0	0	0	0	0	0	0	0	1	0	+2.0
Tyler Kolek	3:49	2	2	1.0	2	2	1.0	0	0	0.0	0	0	0	0	0	0	0	0	6	+2.0
Ariel Hukporti	3:49	0	1	0.0	0	1	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	+2.0
Pacôme Dadiet	3:31	0	0	0.0	0	0	0.0	0	0	0.0	0	2	2	1	0	0	0	0	0	+2.0
Trey Jemison III	2:49	0	0	0.0	0	0	0.0	0	0	0.0	0	1	1	0	0	0	0	0	0	+2.0

## Boston Celtics — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Jaylen Brown	33:08	11	25	0.4	0	4	0.0	4	4	1.0	0	2	2	4	1	1	2	3	26	-14.0
Luka Garza	15:21	1	4	0.2	0	3	0.0	4	4	1.0	1	2	3	0	0	0	0	3	6	-6.0
Neemias Queta	22:47	2	4	0.5	0	0	0.0	0	0	0.0	3	2	5	1	0	0	3	5	4	0.0
Baylor Scheierman	29:11	3	8	0.4	2	7	0.3	2	2	1.0	2	11	13	5	0	0	1	1	10	+1.0
Derrick White	34:12	7	14	0.5	3	9	0.3	2	2	1.0	0	1	1	4	0	0	0	0	19	-9.0
Payton Pritchard	30:31	2	9	0.2	1	6	0.2	1	1	1.0	2	0	2	7	2	0	1	0	6	-27.0
Nikola Vučević	23:29	5	13	0.4	1	6	0.2	0	0	0.0	1	5	6	0	0	1	2	4	11	-24.0
Ron Harper Jr.	21:19	1	5	0.2	0	3	0.0	1	2	0.5	1	2	3	0	0	1	0	2	3	-17.0
Hugo González	12:28	1	5	0.2	0	3	0.0	0	0	0.0	0	1	1	0	0	0	0	2	2	-8.0
Jordan Walsh	12:51	1	4	0.2	0	0	0.0	0	0	0.0	3	3	6	1	1	0	1	0	2	-4.0
Amari Williams	4:43	0	1	0.0	0	0	0.0	0	0	0.0	1	1	2	0	0	0	0	1	0	-2.0
