## Atlanta Hawks — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Zaccharie Risacher	20:46	1	9	0.1	0	6	0.0	1	1	1.0	0	4	4	1	2	0	2	2	3	-19.0
Asa Newell	24:50	1	5	0.2	0	2	0.0	0	0	0.0	2	2	4	1	0	0	2	2	2	-16.0
Onyeka Okongwu	33:11	4	9	0.4	2	4	0.5	4	7	0.6	1	4	5	3	1	0	2	4	14	-27.0
CJ McCollum	32:50	12	25	0.5	5	9	0.6	9	11	0.8	0	1	1	2	4	0	3	1	38	-25.0
Nickeil Alexander-Walker	35:15	9	19	0.5	4	9	0.4	1	1	1.0	2	10	12	5	2	0	6	5	23	-18.0
Gabe Vincent	19:14	1	6	0.2	0	4	0.0	0	0	0.0	1	0	1	4	3	0	0	1	2	+11.0
Corey Kispert	31:19	4	12	0.3	1	7	0.1	3	3	1.0	2	5	7	4	0	1	1	2	12	-11.0
Jock Landale	18:29	4	5	0.8	1	1	1.0	3	4	0.8	4	2	6	0	0	0	1	1	12	-2.0
Mouhamed Gueye	19:30	4	8	0.5	1	2	0.5	1	1	1.0	5	2	7	0	0	0	0	1	10	+1.0
Buddy Hield	4:35	0	1	0.0	0	1	0.0	0	0	0.0	0	0	0	0	0	0	1	0	0	-4.0

## Minnesota Timberwolves — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Jaden McDaniels	33:51	7	11	0.6	2	3	0.7	2	4	0.5	1	4	5	3	1	4	0	2	18	+25.0
Julius Randle	38:36	8	14	0.6	2	5	0.4	0	0	0.0	2	10	12	10	2	1	4	3	18	+25.0
Rudy Gobert	32:31	7	7	1.0	0	0	0.0	4	9	0.4	2	4	6	1	0	1	2	4	18	+12.0
Anthony Edwards	38:04	11	21	0.5	4	11	0.4	4	5	0.8	2	4	6	6	2	1	4	3	30	+22.0
Donte DiVincenzo	25:55	4	10	0.4	2	8	0.2	0	0	0.0	0	4	4	6	2	0	2	0	10	+9.0
Naz Reid	21:25	3	8	0.4	0	5	0.0	1	2	0.5	0	6	6	2	2	1	1	2	7	+6.0
Ayo Dosunmu	29:50	9	13	0.7	2	4	0.5	1	1	1.0	0	1	1	3	1	1	1	4	21	+7.0
Bones Hyland	14:52	5	7	0.7	3	5	0.6	0	0	0.0	0	1	1	5	0	0	1	1	13	-2.0
Jaylen Clark	4:55	1	1	1.0	1	1	1.0	0	0	0.0	0	0	0	0	0	0	0	0	3	+6.0
