## Chicago Bulls — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Isaac Okoro	36:29	3	7	0.4	0	2	0.0	4	4	1.0	1	3	4	4	4	0	1	3	10	-25.0
Matas Buzelis	26:11	5	15	0.3	3	7	0.4	5	6	0.8	0	4	4	1	0	4	3	1	18	-17.0
Guerschon Yabusele	22:28	1	3	0.3	1	3	0.3	0	0	0.0	0	2	2	1	1	0	1	4	3	-17.0
Jaden Ivey	23:32	3	8	0.4	2	6	0.3	5	6	0.8	1	5	6	3	3	1	1	1	13	+9.0
Anfernee Simons	33:51	10	17	0.6	2	9	0.2	1	1	1.0	2	1	3	7	0	1	5	3	23	-19.0
Nick Richards	25:32	4	7	0.6	0	1	0.0	4	6	0.7	2	4	6	1	2	2	3	4	12	+9.0
Collin Sexton	32:06	7	18	0.4	1	4	0.2	6	8	0.8	3	2	5	1	1	0	3	5	21	+6.0
Rob Dillingham	21:52	4	10	0.4	0	1	0.0	0	0	0.0	2	5	7	1	2	0	1	1	8	+7.0
Patrick Williams	17:59	3	6	0.5	1	3	0.3	0	1	0.0	1	1	2	1	0	0	0	0	7	+7.0

## Brooklyn Nets — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Danny Wolf	25:39	5	7	0.7	2	2	1.0	1	2	0.5	0	6	6	2	2	3	1	3	13	+15.0
Noah Clowney	27:55	7	11	0.6	4	6	0.7	4	5	0.8	1	5	6	0	0	1	1	2	22	+14.0
Nic Claxton	32:03	12	15	0.8	1	1	1.0	3	6	0.5	3	7	10	4	1	0	1	4	28	+17.0
Terance Mann	25:31	3	6	0.5	2	2	1.0	1	2	0.5	0	1	1	3	1	1	2	2	9	+15.0
Nolan Traore	31:31	5	11	0.5	0	2	0.0	3	4	0.8	1	2	3	13	1	1	3	4	13	+17.0
Ziaire Williams	25:24	5	11	0.5	1	4	0.2	0	0	0.0	0	5	5	2	2	0	1	0	11	-5.0
Drake Powell	22:52	4	8	0.5	2	5	0.4	4	4	1.0	0	5	5	0	0	0	2	1	14	-7.0
Day'Ron Sharpe	15:57	2	8	0.2	0	1	0.0	2	4	0.5	4	3	7	0	0	0	2	4	6	-9.0
Jalen Wilson	20:05	1	5	0.2	0	2	0.0	2	2	1.0	1	3	4	1	2	0	3	2	4	-6.0
Ben Saraf	13:02	1	6	0.2	0	0	0.0	1	2	0.5	0	0	0	3	1	0	2	0	3	-11.0
