## Detroit Pistons — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Ausar Thompson	25:28	3	8	0.4	0	0	0.0	0	0	0.0	5	3	8	2	2	0	1	4	6	+3.0
Tobias Harris	34:55	4	11	0.4	1	4	0.2	2	2	1.0	0	5	5	1	1	1	1	0	11	+15.0
Jalen Duren	20:07	5	7	0.7	0	0	0.0	5	5	1.0	2	3	5	2	1	0	1	2	15	+15.0
Duncan Robinson	24:27	8	10	0.8	1	3	0.3	1	2	0.5	0	3	3	4	0	0	1	1	18	+27.0
Cade Cunningham	36:39	12	27	0.4	2	6	0.3	7	7	1.0	1	8	9	7	1	0	3	4	33	+14.0
Isaiah Stewart	11:07	1	2	0.5	0	1	0.0	0	0	0.0	0	0	0	0	0	0	0	1	2	-12.0
Caris LeVert	22:40	2	4	0.5	0	2	0.0	1	2	0.5	1	1	2	1	2	1	1	2	5	-19.0
Daniss Jenkins	18:46	2	6	0.3	0	2	0.0	0	0	0.0	1	2	3	1	2	0	1	2	4	+4.0
Javonte Green	14:44	1	5	0.2	0	4	0.0	2	2	1.0	0	0	0	0	0	0	0	1	4	-6.0
Kevin Huerter	12:57	0	2	0.0	0	2	0.0	0	0	0.0	1	2	3	1	1	0	0	0	0	-4.0
Paul Reed	18:06	3	5	0.6	1	1	1.0	5	8	0.6	3	0	3	1	2	1	1	3	12	-7.0

## Charlotte Hornets — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Kon Knueppel	34:10	6	13	0.5	5	11	0.5	3	3	1.0	1	4	5	3	0	1	0	0	20	-9.0
Miles Bridges	19:53	1	6	0.2	0	3	0.0	4	4	1.0	0	4	4	1	0	0	3	1	6	-21.0
Moussa Diabaté	18:42	0	1	0.0	0	0	0.0	0	0	0.0	2	4	6	0	0	0	2	1	0	-13.0
Brandon Miller	35:58	8	18	0.4	4	10	0.4	4	4	1.0	1	2	3	3	2	1	3	3	24	-5.0
LaMelo Ball	29:29	8	22	0.4	4	12	0.3	0	0	0.0	1	3	4	4	0	0	3	5	20	-12.0
Josh Green	22:35	1	3	0.3	1	2	0.5	2	2	1.0	2	3	5	1	0	0	1	3	5	+12.0
Ryan Kalkbrenner	17:12	3	4	0.8	0	0	0.0	0	0	0.0	2	2	4	0	0	0	0	1	6	+2.0
Sion James	23:12	2	3	0.7	2	3	0.7	0	0	0.0	0	2	2	3	0	0	4	3	6	-3.0
Grant Williams	25:16	3	6	0.5	2	3	0.7	4	4	1.0	2	0	2	5	1	1	1	4	12	+9.0
Tre Mann	13:30	2	6	0.3	1	3	0.3	0	0	0.0	0	4	4	2	1	0	1	3	5	+10.0
