## Memphis Grizzlies — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Jaylen Wells	25:56	3	8	0.4	0	2	0.0	4	4	1.0	2	1	3	0	0	0	0	1	10	+1.0
GG Jackson	23:28	2	4	0.5	1	2	0.5	1	2	0.5	1	3	4	2	1	0	2	4	6	-3.0
Kyle Anderson	26:00	3	4	0.8	0	0	0.0	2	2	1.0	0	4	4	0	2	2	5	2	8	-3.0
Cedric Coward	11:50	1	2	0.5	0	1	0.0	0	0	0.0	0	3	3	3	0	0	0	0	2	+7.0
Ty Jerome	19:57	8	14	0.6	2	7	0.3	1	2	0.5	0	3	3	7	2	0	1	0	19	+15.0
Taylor Hendricks	24:31	5	14	0.4	2	8	0.2	3	5	0.6	1	9	10	2	3	0	0	2	15	+2.0
Cam Spencer	23:54	1	6	0.2	0	4	0.0	0	0	0.0	2	2	4	4	0	0	2	1	2	-9.0
Scotty Pippen Jr.	20:12	5	6	0.8	1	1	1.0	0	0	0.0	0	0	0	4	4	1	1	4	11	-4.0
Kentavious Caldwell-Pope	21:34	3	6	0.5	1	1	1.0	8	9	0.9	0	1	1	2	1	0	1	1	15	-4.0
Jahmai Mashack	22:02	8	10	0.8	1	2	0.5	0	0	0.0	0	2	2	1	2	0	3	2	17	0.0
Javon Small	20:34	3	9	0.3	2	4	0.5	0	0	0.0	2	1	3	1	2	0	1	1	8	-7.0

## Golden State Warriors — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Moses Moody	27:41	3	5	0.6	1	3	0.3	8	9	0.9	0	1	1	3	2	0	3	1	15	-8.0
Gui Santos	29:49	7	10	0.7	1	3	0.3	1	1	1.0	1	7	8	2	1	0	4	3	16	+11.0
Draymond Green	23:33	5	7	0.7	4	6	0.7	0	0	0.0	1	3	4	2	2	0	7	2	14	-17.0
De'Anthony Melton	25:26	3	11	0.3	0	3	0.0	4	4	1.0	0	3	3	2	0	0	2	1	10	-1.0
Pat Spencer	31:44	8	13	0.6	1	5	0.2	0	2	0.0	1	2	3	7	2	0	2	2	17	-15.0
Will Richard	14:54	1	1	1.0	1	1	1.0	0	0	0.0	1	3	4	0	0	0	2	5	3	-6.0
Brandin Podziemski	31:53	7	15	0.5	1	6	0.2	1	2	0.5	0	4	4	5	1	0	1	0	16	+9.0
Al Horford	26:19	7	12	0.6	1	3	0.3	1	1	1.0	3	6	9	6	1	0	0	0	16	+24.0
Gary Payton II	23:39	3	9	0.3	1	3	0.3	0	0	0.0	3	1	4	2	3	1	1	2	7	+6.0
Quinten Post	4:58	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	2	0	0	1	1	0	+2.0
