## Oklahoma City Thunder — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Jalen Williams	24:22	6	17	0.4	0	2	0.0	11	13	0.8	0	3	3	1	1	0	2	2	23	-10.0
Chet Holmgren	31:11	5	10	0.5	1	2	0.5	2	2	1.0	3	7	10	2	1	2	1	3	13	+12.0
Isaiah Hartenstein	21:40	4	8	0.5	0	0	0.0	2	4	0.5	6	3	9	6	3	0	2	1	10	-5.0
Luguentz Dort	28:55	2	5	0.4	2	5	0.4	1	2	0.5	1	4	5	1	1	1	4	4	7	-7.0
Cason Wallace	30:49	6	9	0.7	0	3	0.0	0	0	0.0	2	2	4	6	2	1	0	2	12	-2.0
Isaiah Joe	27:27	6	13	0.5	4	8	0.5	3	3	1.0	2	1	3	2	2	0	1	2	19	+14.0
Jaylin Williams	18:53	3	6	0.5	3	5	0.6	2	2	1.0	0	3	3	2	0	0	4	2	11	+9.0
Kenrich Williams	4:25	0	1	0.0	0	0	0.0	0	2	0.0	0	0	0	0	1	0	0	0	0	-1.0
Aaron Wiggins	14:36	0	4	0.0	0	2	0.0	0	0	0.0	0	4	4	1	0	0	1	1	0	+6.0
Alex Caruso	24:05	7	8	0.9	3	4	0.8	0	1	0.0	0	1	1	2	1	0	0	0	17	+19.0
Jared McCain	13:37	3	6	0.5	1	2	0.5	0	0	0.0	0	3	3	0	0	0	0	2	7	+10.0

## Los Angeles Lakers — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
LeBron James	35:59	9	17	0.5	0	4	0.0	4	6	0.7	1	5	6	10	1	0	3	1	22	-7.0
Rui Hachimura	32:53	5	8	0.6	2	5	0.4	0	0	0.0	0	5	5	2	0	0	1	1	12	+4.0
Deandre Ayton	29:01	3	5	0.6	0	0	0.0	0	3	0.0	3	7	10	0	0	0	1	3	6	-5.0
Jake LaRavia	24:02	3	8	0.4	2	6	0.3	6	6	1.0	1	3	4	1	1	1	1	3	14	-9.0
Marcus Smart	29:24	7	16	0.4	4	7	0.6	1	2	0.5	0	3	3	3	2	0	1	1	19	-4.0
Austin Reaves	28:52	6	14	0.4	1	5	0.2	3	3	1.0	0	2	2	7	1	0	5	3	16	-14.0
Luke Kennard	24:13	3	5	0.6	1	2	0.5	0	0	0.0	1	0	1	1	1	0	0	4	7	-7.0
Jarred Vanderbilt	16:55	1	3	0.3	0	2	0.0	0	0	0.0	0	2	2	0	1	1	2	3	2	+9.0
Jaxson Hayes	13:52	5	8	0.6	0	0	0.0	2	3	0.7	3	1	4	1	0	0	1	2	12	-4.0
Maxi Kleber	4:49	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	-8.0
