## Philadelphia 76ers — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Kelly Oubre Jr.	35:48	6	13	0.5	3	5	0.6	4	4	1.0	0	4	4	1	4	2	2	2	19	-24.0
Trendon Watford	24:35	5	7	0.7	0	1	0.0	2	3	0.7	0	2	2	3	0	0	0	3	12	-19.0
Andre Drummond	26:40	5	8	0.6	1	2	0.5	0	0	0.0	3	4	7	5	0	2	1	3	11	-15.0
VJ Edgecombe	33:24	3	13	0.2	1	6	0.2	4	4	1.0	3	3	6	3	0	2	4	3	11	-29.0
Tyrese Maxey	32:27	10	21	0.5	2	9	0.2	8	8	1.0	0	1	1	4	1	0	4	4	30	-22.0
Justin Edwards	24:30	3	5	0.6	2	2	1.0	4	4	1.0	0	4	4	2	3	0	1	2	12	0.0
Adem Bona	17:28	2	3	0.7	0	0	0.0	3	3	1.0	1	0	1	0	0	0	0	4	7	-14.0
Kyle Lowry	18:01	1	2	0.5	1	2	0.5	3	4	0.8	0	1	1	1	1	1	0	0	6	+9.0
MarJon Beauchamp	20:05	3	7	0.4	1	2	0.5	3	4	0.8	1	3	4	4	3	0	0	0	10	+12.0
Johni Broome	4:41	0	2	0.0	0	1	0.0	0	2	0.0	0	2	2	0	0	1	1	1	0	+10.0
Patrick Baldwin Jr.	2:20	0	0	0.0	0	0	0.0	0	0	0.0	0	1	1	0	0	0	0	0	0	+7.0

## Portland Trail Blazers — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Toumani Camara	27:29	10	12	0.8	8	10	0.8	2	2	1.0	1	2	3	1	3	0	3	3	30	+30.0
Jerami Grant	24:34	6	13	0.5	3	9	0.3	0	0	0.0	1	3	4	2	1	0	1	2	15	+34.0
Donovan Clingan	27:44	6	10	0.6	3	4	0.8	0	2	0.0	2	5	7	3	0	4	1	2	15	+20.0
Deni Avdija	26:36	8	16	0.5	2	7	0.3	8	10	0.8	4	6	10	8	2	1	1	2	26	+12.0
Jrue Holiday	27:30	5	9	0.6	2	4	0.5	1	1	1.0	5	2	7	7	1	0	3	2	13	+16.0
Scoot Henderson	19:41	2	5	0.4	0	3	0.0	8	10	0.8	0	2	2	7	1	0	2	4	12	+4.0
Robert Williams III	15:00	3	5	0.6	2	2	1.0	0	0	0.0	2	4	6	2	0	1	2	0	8	+5.0
Vít Krejčí	22:30	2	9	0.2	1	7	0.1	0	0	0.0	2	0	2	3	0	0	0	1	5	+1.0
Sidy Cissoko	19:28	0	4	0.0	0	3	0.0	0	0	0.0	2	3	5	0	0	1	2	4	0	-6.0
Blake Wesley	12:47	2	6	0.3	0	0	0.0	0	0	0.0	1	0	1	3	0	0	0	0	4	-9.0
Rayan Rupert	6:09	1	2	0.5	1	1	1.0	0	0	0.0	0	1	1	0	0	0	1	2	3	-6.0
Yang Hansen	5:15	1	4	0.2	0	3	0.0	0	0	0.0	0	1	1	0	0	0	1	2	2	-8.0
Javonte Cooke	5:15	1	2	0.5	0	1	0.0	0	0	0.0	0	2	2	0	0	0	1	1	2	-8.0
