## Sacramento Kings — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
DeMar DeRozan	19:36	3	11	0.3	0	2	0.0	2	3	0.7	0	1	1	1	0	0	1	2	8	-7.0
Precious Achiuwa	20:10	4	8	0.5	0	0	0.0	0	0	0.0	1	2	3	0	3	1	1	2	8	-9.0
Maxime Raynaud	38:08	8	14	0.6	0	1	0.0	5	6	0.8	4	15	19	1	1	0	1	0	21	-16.0
Nique Clifford	37:19	4	16	0.2	1	6	0.2	1	2	0.5	2	3	5	6	1	0	3	2	10	-17.0
Russell Westbrook	20:54	7	17	0.4	1	6	0.2	2	2	1.0	1	1	2	2	0	0	2	0	17	-3.0
Dylan Cardwell	31:49	3	5	0.6	0	0	0.0	0	0	0.0	5	6	11	1	2	2	0	3	6	-23.0
Devin Carter	29:53	6	12	0.5	0	4	0.0	0	2	0.0	2	1	3	4	1	0	3	0	12	-22.0
Daeqwon Plowden	28:24	2	9	0.2	1	7	0.1	0	0	0.0	2	1	3	2	0	0	1	3	5	-19.0
Doug McDermott	7:54	1	4	0.2	1	4	0.2	0	0	0.0	1	1	2	1	0	0	2	1	3	-10.0
Drew Eubanks	5:53	2	3	0.7	0	1	0.0	0	0	0.0	1	0	1	1	0	0	0	0	4	-4.0

## New Orleans Pelicans — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Saddiq Bey	25:52	5	10	0.5	1	5	0.2	1	2	0.5	0	4	4	1	0	0	3	2	12	+14.0
Zion Williamson	26:42	7	11	0.6	0	0	0.0	4	4	1.0	1	4	5	6	1	0	2	1	18	+11.0
Derik Queen	23:43	4	7	0.6	0	1	0.0	0	0	0.0	0	5	5	1	3	1	2	2	8	+14.0
Trey Murphy III	28:38	8	15	0.5	5	11	0.5	0	1	0.0	1	1	2	7	1	0	0	2	21	+17.0
Herbert Jones	30:20	3	11	0.3	2	9	0.2	0	2	0.0	1	3	4	6	0	1	1	2	8	+8.0
Karlo Matković	18:55	4	6	0.7	2	3	0.7	2	2	1.0	1	8	9	1	0	0	0	0	12	+19.0
Bryce McGowens	24:08	3	7	0.4	2	3	0.7	0	0	0.0	0	1	1	3	1	0	0	4	8	+14.0
Jeremiah Fears	30:11	8	14	0.6	2	4	0.5	2	2	1.0	1	3	4	3	2	2	3	4	20	+26.0
Yves Missi	21:49	3	3	1.0	0	0	0.0	1	3	0.3	2	3	5	1	0	1	2	1	7	+9.0
Micah Peavy	4:51	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	-1.0
Jordan Hawkins	4:51	2	3	0.7	2	3	0.7	0	0	0.0	0	0	0	1	0	0	0	0	6	-1.0
