## San Antonio Spurs — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Julian Champagnie	18:09	2	7	0.3	1	5	0.2	3	4	0.8	0	2	2	2	1	0	1	1	8	+14.0
Devin Vassell	24:10	4	5	0.8	1	2	0.5	0	0	0.0	0	2	2	1	2	0	0	0	9	+20.0
Victor Wembanyama	26:06	13	20	0.7	4	6	0.7	10	12	0.8	1	11	12	2	2	1	4	2	40	+22.0
Stephon Castle	11:58	1	1	1.0	0	0	0.0	0	0	0.0	0	1	1	7	0	1	1	2	2	+8.0
De'Aaron Fox	17:12	3	7	0.4	0	1	0.0	2	2	1.0	1	1	2	6	2	1	0	0	8	+30.0
Keldon Johnson	21:08	3	10	0.3	0	3	0.0	0	0	0.0	2	2	4	2	0	0	1	3	6	+4.0
Dylan Harper	27:15	6	8	0.8	0	1	0.0	3	3	1.0	1	2	3	6	1	0	1	1	15	+27.0
Luke Kornet	9:54	3	4	0.8	0	0	0.0	0	0	0.0	1	4	5	1	0	2	0	1	6	+12.0
Harrison Barnes	20:38	4	6	0.7	3	5	0.6	0	0	0.0	1	2	3	2	3	1	0	0	11	+20.0
Carter Bryant	26:51	6	12	0.5	3	8	0.4	1	4	0.2	0	4	4	3	1	0	0	2	16	+3.0
Jordan McLaughlin	14:51	3	5	0.6	1	2	0.5	0	0	0.0	0	2	2	2	2	0	1	1	7	-9.0
Kelly Olynyk	12:00	4	6	0.7	0	0	0.0	0	0	0.0	1	0	1	0	0	0	1	2	8	-6.0
Bismack Biyombo	9:48	0	1	0.0	0	0	0.0	0	0	0.0	1	3	4	0	0	0	2	3	0	-5.0

## Los Angeles Lakers — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Jake LaRavia	18:22	3	6	0.5	2	2	1.0	2	2	1.0	1	1	2	1	0	0	1	6	10	-31.0
Rui Hachimura	26:35	3	12	0.2	0	3	0.0	0	0	0.0	0	4	4	2	2	0	1	1	6	-24.0
Jaxson Hayes	16:38	6	7	0.9	1	1	1.0	0	0	0.0	1	3	4	3	0	0	2	3	13	-16.0
Luke Kennard	27:40	5	8	0.6	1	3	0.3	3	3	1.0	1	1	2	5	0	0	1	0	14	-20.0
Kobe Bufkin	24:20	2	10	0.2	1	5	0.2	2	2	1.0	0	2	2	1	1	0	3	1	7	-12.0
Maxi Kleber	13:20	2	2	1.0	1	1	1.0	1	2	0.5	0	3	3	0	1	0	2	4	6	-1.0
Jarred Vanderbilt	16:21	2	5	0.4	1	2	0.5	1	2	0.5	1	3	4	2	0	0	2	0	6	-16.0
Nick Smith Jr.	17:04	3	8	0.4	0	1	0.0	0	0	0.0	0	2	2	1	1	0	1	0	6	-5.0
Drew Timme	20:29	5	8	0.6	2	3	0.7	2	4	0.5	0	2	2	0	0	0	1	0	14	-4.0
Dalton Knecht	16:17	4	8	0.5	0	2	0.0	1	2	0.5	1	4	5	1	0	0	1	2	9	-10.0
Bronny James	25:22	5	10	0.5	2	2	1.0	0	0	0.0	0	3	3	6	0	1	2	3	12	-6.0
Adou Thiero	9:48	1	1	1.0	0	0	0.0	1	1	1.0	0	0	0	0	0	1	0	0	3	+5.0
Chris Mañon	7:44	0	0	0.0	0	0	0.0	2	2	1.0	0	1	1	1	2	0	1	0	2	0.0
