## Atlanta Hawks — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Zaccharie Risacher	23:16	2	6	0.3	1	3	0.3	0	2	0.0	1	2	3	1	1	0	0	4	5	-10.0
Jalen Johnson	34:27	7	15	0.5	1	4	0.2	4	5	0.8	1	12	13	9	4	1	3	1	19	-5.0
Onyeka Okongwu	28:52	5	9	0.6	3	5	0.6	5	5	1.0	2	1	3	0	1	2	1	2	18	+4.0
Dyson Daniels	25:28	9	12	0.8	0	1	0.0	3	4	0.8	1	2	3	4	0	0	2	2	21	-10.0
Nickeil Alexander-Walker	40:15	2	13	0.2	1	7	0.1	5	5	1.0	0	3	3	4	1	2	3	4	10	+8.0
CJ McCollum	31:57	6	17	0.4	1	8	0.1	4	5	0.8	2	4	6	8	0	1	3	2	17	+7.0
Corey Kispert	23:01	0	3	0.0	0	2	0.0	2	2	1.0	0	3	3	2	0	0	0	1	2	-2.0
Jock Landale	19:08	4	6	0.7	1	3	0.3	0	2	0.0	0	3	3	0	1	0	0	5	9	-7.0
Asa Newell	4:47	0	1	0.0	0	1	0.0	0	0	0.0	0	1	1	0	0	0	0	0	0	-2.0
Mouhamed Gueye	8:47	2	2	1.0	2	2	1.0	0	0	0.0	1	2	3	0	0	0	1	0	6	+2.0

## Charlotte Hornets — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Kon Knueppel	30:19	5	12	0.4	4	7	0.6	4	4	1.0	2	4	6	4	2	1	3	4	18	-6.0
Grant Williams	32:07	1	9	0.1	0	6	0.0	5	7	0.7	4	4	8	5	0	1	2	2	7	-3.0
Ryan Kalkbrenner	23:58	2	2	1.0	0	0	0.0	1	2	0.5	4	2	6	1	2	2	2	4	5	+4.0
Brandon Miller	35:38	10	26	0.4	5	14	0.4	6	6	1.0	1	8	9	2	1	2	5	4	31	+3.0
LaMelo Ball	32:26	8	23	0.3	7	18	0.4	1	1	1.0	0	4	4	6	1	0	1	4	24	+9.0
Josh Green	19:12	1	2	0.5	1	1	1.0	0	0	0.0	0	0	0	0	0	0	0	2	3	+9.0
PJ Hall	16:48	3	7	0.4	0	0	0.0	5	5	1.0	4	6	10	0	1	0	1	2	11	+1.0
Sion James	17:23	1	2	0.5	1	2	0.5	0	0	0.0	0	3	3	3	0	0	1	1	3	-7.0
Tidjane Salaün	15:18	0	1	0.0	0	1	0.0	3	4	0.8	0	4	4	0	1	0	0	0	3	+8.0
Tre Mann	15:36	2	4	0.5	1	2	0.5	0	0	0.0	0	0	0	0	2	0	0	0	5	-1.0
Xavier Tillman	1:12	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	-2.0
