## Detroit Pistons — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Ausar Thompson	24:26	2	3	0.7	0	0	0.0	0	0	0.0	3	1	4	4	1	1	2	2	4	+19.0
Tobias Harris	31:14	4	9	0.4	1	4	0.2	3	4	0.8	2	10	12	0	0	1	0	1	12	+13.0
Paul Reed	32:35	10	17	0.6	1	2	0.5	1	2	0.5	3	2	5	3	3	4	2	3	22	+21.0
Duncan Robinson	24:31	4	8	0.5	2	5	0.4	3	4	0.8	0	4	4	1	1	1	1	4	13	+17.0
Cade Cunningham	30:07	9	14	0.6	6	11	0.5	4	6	0.7	0	7	7	9	3	1	3	1	28	+26.0
Javonte Green	16:17	0	4	0.0	0	2	0.0	3	3	1.0	3	1	4	2	0	0	1	0	3	+4.0
Caris LeVert	17:34	3	8	0.4	3	4	0.8	0	0	0.0	1	1	2	1	1	0	1	3	9	+2.0
Daniss Jenkins	16:46	3	9	0.3	0	1	0.0	2	3	0.7	2	1	3	1	0	0	2	1	8	-13.0
Kevin Huerter	20:51	4	9	0.4	1	3	0.3	0	0	0.0	1	2	3	0	0	0	1	3	9	+5.0
Tolu Smith	15:19	1	3	0.3	0	0	0.0	1	3	0.3	2	1	3	2	0	0	1	2	3	-3.0
Marcus Sasser	3:51	1	1	1.0	0	0	0.0	0	0	0.0	0	0	0	1	0	0	1	0	2	-1.0
Bobi Klintman	3:51	0	2	0.0	0	1	0.0	0	0	0.0	0	0	0	0	1	0	0	1	0	-1.0
Chaz Lanier	2:36	0	2	0.0	0	1	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	+1.0

## Toronto Raptors — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Brandon Ingram	32:19	5	7	0.7	1	2	0.5	2	2	1.0	0	0	0	0	0	1	2	4	13	-12.0
Scottie Barnes	29:54	5	13	0.4	0	3	0.0	7	7	1.0	4	3	7	5	3	3	0	4	17	-1.0
Jakob Poeltl	20:08	4	7	0.6	0	0	0.0	1	2	0.5	2	4	6	0	0	0	1	2	9	-2.0
RJ Barrett	30:11	4	6	0.7	1	2	0.5	7	8	0.9	0	3	3	4	1	1	2	2	16	-10.0
Immanuel Quickley	31:31	7	15	0.5	4	9	0.4	0	0	0.0	0	2	2	5	0	0	0	2	18	-22.0
Jamal Shead	23:47	0	5	0.0	0	3	0.0	0	0	0.0	0	2	2	3	1	0	4	1	0	-10.0
Trayce Jackson-Davis	9:48	0	1	0.0	0	0	0.0	0	0	0.0	1	2	3	1	1	0	1	0	0	-15.0
Sandro Mamukelashvili	19:37	2	8	0.2	1	6	0.2	2	2	1.0	1	5	6	1	0	0	1	2	7	-10.0
Gradey Dick	16:05	3	8	0.4	2	4	0.5	2	2	1.0	2	0	2	0	0	0	3	1	10	-1.0
Ja'Kobe Walter	18:58	1	3	0.3	1	3	0.3	0	0	0.0	1	2	3	3	1	1	2	2	3	-9.0
Alijah Martin	3:51	1	2	0.5	0	0	0.0	0	0	0.0	0	1	1	0	0	0	0	0	2	+1.0
Jamison Battle	3:51	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	+1.0
