## Indiana Pacers — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Kobe Brown	28:04	2	5	0.4	0	1	0.0	0	0	0.0	2	5	7	3	0	0	1	4	4	+11.0
Jarace Walker	32:01	9	18	0.5	2	6	0.3	3	5	0.6	2	3	5	3	1	1	2	3	23	-8.0
Jay Huff	30:37	5	9	0.6	0	3	0.0	1	1	1.0	1	3	4	1	3	2	0	4	11	0.0
Ben Sheppard	19:02	3	6	0.5	3	5	0.6	0	0	0.0	0	1	1	4	1	0	0	0	9	-12.0
Kam Jones	31:11	5	12	0.4	1	6	0.2	0	0	0.0	1	1	2	6	0	0	4	0	11	-7.0
Micah Potter	26:45	6	8	0.8	1	2	0.5	6	8	0.8	2	10	12	1	1	2	0	1	19	0.0
Quenton Jackson	19:07	4	10	0.4	1	3	0.3	0	0	0.0	1	1	2	5	0	0	3	1	9	+7.0
Ethan Thompson	26:32	6	13	0.5	3	6	0.5	0	0	0.0	0	5	5	3	3	0	0	3	15	+12.0
Taelon Peter	26:40	5	11	0.5	4	10	0.4	0	0	0.0	0	4	4	3	2	0	0	2	14	+22.0

## Brooklyn Nets — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Terance Mann	25:18	2	7	0.3	0	2	0.0	0	0	0.0	0	2	2	1	0	0	1	2	4	+13.0
Ziaire Williams	28:24	7	13	0.5	5	7	0.7	0	0	0.0	1	4	5	1	3	0	2	1	19	+13.0
Day'Ron Sharpe	30:47	8	11	0.7	0	0	0.0	3	4	0.8	5	7	12	5	2	2	1	1	19	+12.0
Egor Dëmin	32:24	3	8	0.4	3	7	0.4	4	4	1.0	0	5	5	5	1	1	1	2	13	+12.0
Nolan Traore	31:31	8	13	0.6	2	3	0.7	2	4	0.5	0	2	2	8	1	0	5	5	20	+12.0
Danny Wolf	22:42	4	13	0.3	2	7	0.3	4	4	1.0	2	6	8	0	0	0	3	3	14	-18.0
Ben Saraf	17:13	4	6	0.7	0	1	0.0	4	6	0.7	0	4	4	2	0	0	1	3	12	-17.0
Ochai Agbaji	16:29	0	3	0.0	0	0	0.0	0	0	0.0	3	3	6	2	0	1	0	0	0	-17.0
Drake Powell	19:36	1	4	0.2	1	3	0.3	3	4	0.8	0	1	1	1	0	1	2	1	6	-18.0
Jalen Wilson	15:36	1	7	0.1	1	3	0.3	0	0	0.0	1	1	2	0	1	0	0	0	3	-17.0
