## Los Angeles Clippers — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Kawhi Leonard	32:36	9	20	0.5	1	5	0.2	8	9	0.9	3	9	12	4	4	0	4	2	27	+3.0
John Collins	35:27	6	11	0.5	0	2	0.0	0	0	0.0	1	5	6	1	1	0	1	1	12	-7.0
Brook Lopez	37:04	6	10	0.6	3	7	0.4	0	0	0.0	0	1	1	3	2	2	1	1	15	+2.0
Derrick Jones Jr.	30:18	4	8	0.5	2	4	0.5	2	2	1.0	0	1	1	3	1	2	0	2	12	+5.0
Kris Dunn	36:34	6	10	0.6	4	6	0.7	0	1	0.0	0	2	2	6	1	0	1	5	16	+7.0
Bennedict Mathurin	31:00	3	10	0.3	1	3	0.3	9	10	0.9	0	3	3	3	3	1	1	1	16	+6.0
Yanic Konan Niederhäuser	10:12	0	1	0.0	0	0	0.0	0	0	0.0	2	1	3	0	0	2	0	1	0	-1.0
Jordan Miller	17:08	2	5	0.4	0	1	0.0	0	0	0.0	1	2	3	0	0	0	1	1	4	+3.0
Kobe Sanders	9:40	0	2	0.0	0	0	0.0	3	4	0.8	0	1	1	1	1	0	0	1	3	-3.0

## Houston Rockets — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Kevin Durant	36:04	7	15	0.5	3	9	0.3	4	5	0.8	1	7	8	6	0	1	8	1	21	+6.0
Jabari Smith Jr.	35:50	6	12	0.5	2	7	0.3	2	2	1.0	2	10	12	0	0	0	2	0	16	-8.0
Alperen Sengun	29:25	7	16	0.4	0	1	0.0	2	4	0.5	5	4	9	6	0	3	2	5	16	-5.0
Tari Eason	33:57	4	13	0.3	2	8	0.2	3	3	1.0	0	2	2	3	0	0	1	1	13	+1.0
Amen Thompson	40:49	5	8	0.6	0	1	0.0	2	2	1.0	4	2	6	5	1	0	3	2	12	-2.0
Jae'Sean Tate	12:48	2	3	0.7	0	0	0.0	0	0	0.0	0	1	1	1	1	0	2	1	4	-2.0
Reed Sheppard	25:02	6	13	0.5	5	10	0.5	0	0	0.0	0	2	2	4	1	1	2	1	17	-4.0
Clint Capela	16:28	1	2	0.5	0	0	0.0	1	2	0.5	1	4	5	0	0	4	0	2	3	+5.0
Josh Okogie	9:35	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	1	4	0	-6.0
