## Memphis Grizzlies — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Jahmai Mashack	21:50	4	11	0.4	1	5	0.2	0	0	0.0	1	2	3	2	2	1	0	3	9	+2.0
GG Jackson	28:13	6	12	0.5	3	5	0.6	6	7	0.9	2	3	5	3	0	1	1	0	21	+3.0
Kyle Anderson	18:29	4	5	0.8	0	0	0.0	0	0	0.0	2	1	3	1	1	0	0	6	8	+3.0
Jaylen Wells	24:18	7	9	0.8	2	3	0.7	1	1	1.0	0	1	1	0	0	1	0	4	17	+7.0
Ty Jerome	20:58	4	11	0.4	3	7	0.4	8	9	0.9	0	1	1	7	1	1	0	2	19	+3.0
Kentavious Caldwell-Pope	26:10	2	8	0.2	1	5	0.2	0	0	0.0	0	3	3	2	2	0	0	0	5	-8.0
Olivier-Maxence Prosper	22:57	6	7	0.9	2	3	0.7	0	0	0.0	1	4	5	0	1	0	0	4	14	-18.0
Scotty Pippen Jr.	17:43	3	10	0.3	1	4	0.2	1	2	0.5	0	0	0	3	1	1	2	5	8	-7.0
Taylor Hendricks	19:55	4	8	0.5	2	4	0.5	0	0	0.0	0	2	2	1	1	0	2	5	10	-5.0
Cam Spencer	21:52	1	8	0.1	0	3	0.0	0	0	0.0	0	2	2	9	1	0	0	0	2	-7.0
Lawson Lovering	17:34	1	2	0.5	0	0	0.0	1	2	0.5	2	2	4	0	2	0	1	3	3	-3.0

## Denver Nuggets — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Julian Strawther	25:18	5	9	0.6	1	4	0.2	0	0	0.0	0	1	1	2	1	0	0	3	11	-9.0
Cameron Johnson	28:48	2	7	0.3	1	3	0.3	0	0	0.0	0	4	4	1	1	0	0	3	5	-6.0
Nikola Jokić	33:54	8	17	0.5	0	0	0.0	10	14	0.7	5	10	15	11	0	0	9	2	26	+8.0
Christian Braun	39:08	6	8	0.8	0	0	0.0	2	2	1.0	0	7	7	6	0	0	2	3	14	+12.0
Jamal Murray	33:06	7	18	0.4	1	5	0.2	8	8	1.0	1	5	6	7	0	1	2	2	23	0.0
Tim Hardaway Jr.	27:49	7	8	0.9	4	5	0.8	3	4	0.8	0	3	3	0	0	0	0	2	21	+12.0
Bruce Brown	29:05	4	6	0.7	2	3	0.7	0	0	0.0	0	3	3	2	0	0	0	2	10	+4.0
Jalen Pickett	8:41	1	3	0.3	1	2	0.5	0	0	0.0	0	1	1	0	0	0	0	0	3	+9.0
Jonas Valančiūnas	14:10	3	5	0.6	0	0	0.0	3	4	0.8	3	3	6	0	0	0	1	2	9	0.0
