## Milwaukee Bucks — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Kyle Kuzma	29:50	5	15	0.3	1	7	0.1	4	4	1.0	1	6	7	2	0	0	3	1	15	+6.0
Jericho Sims	35:54	6	6	1.0	0	0	0.0	5	5	1.0	5	6	11	2	0	0	1	5	17	+8.0
Myles Turner	30:42	2	4	0.5	1	2	0.5	0	0	0.0	0	8	8	2	2	2	0	3	5	+6.0
AJ Green	30:21	2	6	0.3	2	6	0.3	0	0	0.0	0	1	1	2	1	0	0	0	6	+1.0
Kevin Porter Jr.	38:35	5	14	0.4	1	3	0.3	7	7	1.0	2	8	10	11	0	2	3	1	18	+11.0
Cam Thomas	25:03	12	20	0.6	4	6	0.7	6	6	1.0	0	4	4	2	0	0	3	0	34	+6.0
Bobby Portis	16:26	1	5	0.2	0	3	0.0	2	2	1.0	0	2	2	0	1	0	3	2	4	+1.0
Gary Harris	6:12	0	1	0.0	0	1	0.0	0	0	0.0	0	1	1	1	0	0	1	0	0	-2.0
Ousmane Dieng	22:38	6	10	0.6	5	8	0.6	0	0	0.0	0	3	3	0	0	0	0	2	17	+6.0
Pete Nance	4:19	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	1	0	0	-3.0

## Orlando Magic — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Desmond Bane	38:52	11	17	0.6	8	11	0.7	1	1	1.0	1	1	2	5	2	1	4	5	31	-7.0
Paolo Banchero	39:16	5	16	0.3	2	6	0.3	5	8	0.6	1	3	4	2	0	0	0	1	17	-3.0
Wendell Carter Jr.	30:36	1	7	0.1	0	3	0.0	4	4	1.0	2	9	11	3	2	0	1	4	6	-8.0
Anthony Black	24:43	5	10	0.5	3	5	0.6	0	0	0.0	0	3	3	3	1	0	2	3	13	-5.0
Jalen Suggs	34:53	5	14	0.4	4	11	0.4	2	2	1.0	0	1	1	10	4	3	1	1	16	-2.0
Jase Richardson	6:51	1	1	1.0	1	1	1.0	0	0	0.0	0	0	0	1	0	0	0	2	3	0.0
Tristan da Silva	23:10	2	5	0.4	1	4	0.2	0	0	0.0	1	3	4	0	0	1	1	3	5	-3.0
Moritz Wagner	17:24	4	5	0.8	0	1	0.0	4	4	1.0	2	3	5	4	1	1	0	4	12	0.0
Franz Wagner	20:38	1	7	0.1	1	5	0.2	2	2	1.0	0	0	0	3	2	0	0	1	5	-9.0
Noah Penda	3:36	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	-3.0
