## Oklahoma City Thunder — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Jalen Williams	19:38	11	12	0.9	2	2	1.0	4	5	0.8	1	3	4	5	0	0	1	1	28	+19.0
Chet Holmgren	20:30	4	8	0.5	0	1	0.0	5	5	1.0	0	4	4	2	0	0	1	1	13	+19.0
Isaiah Hartenstein	17:37	3	3	1.0	0	0	0.0	2	2	1.0	1	3	4	6	0	0	1	1	8	+20.0
Luguentz Dort	23:42	4	6	0.7	1	3	0.3	0	0	0.0	0	0	0	1	0	0	0	2	9	+15.0
Cason Wallace	26:13	2	7	0.3	0	3	0.0	0	0	0.0	1	3	4	3	0	0	1	0	4	+16.0
Jaylin Williams	28:09	4	8	0.5	1	5	0.2	2	2	1.0	0	6	6	5	1	3	0	2	11	+13.0
Aaron Wiggins	25:03	6	13	0.5	0	3	0.0	0	0	0.0	0	3	3	2	2	0	1	0	12	+2.0
Kenrich Williams	23:00	6	9	0.7	2	3	0.7	1	1	1.0	4	2	6	2	1	0	1	0	15	+4.0
Isaiah Joe	18:09	6	10	0.6	6	8	0.8	3	4	0.8	0	1	1	1	0	0	0	1	21	+6.0
Jared McCain	22:18	5	8	0.6	2	3	0.7	0	0	0.0	1	3	4	1	2	0	2	0	12	+9.0
Alex Caruso	7:50	0	1	0.0	0	1	0.0	0	0	0.0	0	1	1	0	0	0	0	0	0	+12.0
Buddy Boeheim	7:49	1	4	0.2	1	4	0.2	0	0	0.0	0	0	0	0	0	0	0	0	3	0.0

## Phoenix Suns — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Dillon Brooks	24:23	9	19	0.5	1	5	0.2	4	5	0.8	2	3	5	4	2	0	3	3	23	-27.0
Royce O'Neale	23:33	4	11	0.4	4	11	0.4	0	0	0.0	0	2	2	2	0	0	1	2	12	-24.0
Mark Williams	15:57	3	4	0.8	0	0	0.0	0	0	0.0	1	0	1	0	0	0	1	0	6	-20.0
Jordan Goodwin	27:41	5	10	0.5	2	5	0.4	0	0	0.0	2	2	4	4	1	0	1	1	12	-32.0
Collin Gillespie	22:32	2	7	0.3	2	4	0.5	0	0	0.0	2	3	5	3	0	0	0	1	6	-18.0
Jamaree Bouyea	26:35	4	12	0.3	1	2	0.5	2	2	1.0	0	3	3	6	0	1	1	1	11	-12.0
Ryan Dunn	22:48	1	4	0.2	0	3	0.0	0	4	0.0	0	4	4	1	0	1	1	2	2	-1.0
Oso Ighodaro	16:49	4	4	1.0	0	0	0.0	0	0	0.0	3	1	4	2	1	1	0	0	8	-14.0
Amir Coffey	20:08	3	8	0.4	1	4	0.2	2	2	1.0	1	4	5	2	0	0	0	1	9	-4.0
Rasheer Fleming	19:43	3	7	0.4	2	5	0.4	0	0	0.0	2	1	3	2	0	1	2	1	8	+12.0
Khaman Maluach	12:00	3	4	0.8	0	1	0.0	0	0	0.0	2	4	6	0	0	1	0	0	6	+5.0
Koby Brea	7:49	2	2	1.0	2	2	1.0	0	0	0.0	0	1	1	0	0	0	0	0	6	0.0
