## Portland Trail Blazers — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Jerami Grant	29:25	4	11	0.4	1	4	0.2	1	2	0.5	2	2	4	2	0	0	0	3	10	-3.0
Toumani Camara	32:05	3	5	0.6	2	3	0.7	1	1	1.0	3	5	8	2	0	0	2	2	9	-15.0
Donovan Clingan	27:43	3	7	0.4	2	4	0.5	0	0	0.0	5	4	9	1	1	2	1	2	8	-24.0
Deni Avdija	26:54	3	14	0.2	0	7	0.0	5	5	1.0	1	4	5	3	1	0	5	3	11	-32.0
Jrue Holiday	30:28	9	22	0.4	5	11	0.5	0	0	0.0	1	4	5	5	0	0	6	3	23	-11.0
Scoot Henderson	18:50	5	8	0.6	3	5	0.6	5	5	1.0	1	3	4	2	0	0	5	2	18	-1.0
Vít Krejčí	19:58	7	10	0.7	3	6	0.5	0	0	0.0	0	1	1	1	0	0	1	3	17	-10.0
Blake Wesley	23:33	2	6	0.3	0	2	0.0	0	1	0.0	1	3	4	6	1	0	2	0	4	-6.0
Robert Williams III	11:35	2	3	0.7	0	0	0.0	1	2	0.5	2	3	5	1	0	2	0	1	5	-1.0
Rayan Rupert	9:53	1	3	0.3	0	1	0.0	0	0	0.0	0	1	1	0	0	0	1	1	2	-11.0
Yang Hansen	4:47	1	1	1.0	0	0	0.0	0	0	0.0	1	0	1	0	1	0	0	1	2	-3.0
Javonte Cooke	4:47	0	4	0.0	0	2	0.0	0	0	0.0	1	2	3	0	0	0	2	1	0	-3.0

## Minnesota Timberwolves — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Jaden McDaniels	33:23	7	13	0.5	2	3	0.7	5	6	0.8	4	2	6	6	2	2	2	3	21	+16.0
Julius Randle	32:51	14	24	0.6	3	7	0.4	10	11	0.9	2	5	7	2	1	0	3	5	41	+11.0
Rudy Gobert	27:45	5	7	0.7	0	0	0.0	7	10	0.7	3	5	8	1	0	0	1	0	17	+28.0
Anthony Edwards	32:39	5	10	0.5	4	6	0.7	0	0	0.0	1	3	4	2	2	1	2	2	14	+19.0
Donte DiVincenzo	29:00	1	5	0.2	1	5	0.2	0	0	0.0	0	4	4	5	3	0	1	3	3	+26.0
Naz Reid	23:49	4	8	0.5	2	5	0.4	1	2	0.5	0	7	7	2	0	2	2	2	11	+6.0
Ayo Dosunmu	28:26	5	8	0.6	0	2	0.0	2	2	1.0	0	1	1	4	2	0	0	1	12	+11.0
Bones Hyland	8:48	1	4	0.2	1	3	0.3	0	0	0.0	0	1	1	3	0	0	1	4	3	-5.0
Jaylen Clark	7:34	2	4	0.5	1	2	0.5	0	0	0.0	0	2	2	1	2	0	1	1	5	+2.0
Julian Phillips	4:05	1	3	0.3	0	1	0.0	2	2	1.0	0	0	0	0	2	0	0	0	4	+1.0
Joan Beringer	4:05	0	1	0.0	0	0	0.0	2	2	1.0	1	0	1	0	0	0	0	0	2	+1.0
Joe Ingles	3:46	0	0	0.0	0	0	0.0	0	0	0.0	0	1	1	0	0	0	1	0	0	+2.0
Enrique Freeman	3:46	0	0	0.0	0	0	0.0	0	0	0.0	0	1	1	0	0	1	0	0	0	+2.0
