## Sacramento Kings — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
DeMar DeRozan	29:28	7	19	0.4	1	5	0.2	5	5	1.0	2	1	3	1	0	0	0	1	20	-21.0
Precious Achiuwa	16:04	3	5	0.6	0	0	0.0	0	0	0.0	1	4	5	1	1	1	1	3	6	-9.0
Maxime Raynaud	27:38	3	7	0.4	0	1	0.0	1	1	1.0	1	3	4	1	1	1	0	2	7	-22.0
Nique Clifford	38:13	1	15	0.1	0	5	0.0	4	5	0.8	3	5	8	6	2	0	2	1	6	-26.0
Devin Carter	29:48	4	13	0.3	1	6	0.2	10	12	0.8	1	4	5	4	0	1	3	1	19	-13.0
Isaiah Stevens	20:17	3	5	0.6	0	1	0.0	0	0	0.0	1	0	1	4	2	0	2	1	6	-8.0
Daeqwon Plowden	32:45	3	12	0.2	1	7	0.1	2	2	1.0	3	3	6	4	1	0	1	1	9	-20.0
Dylan Cardwell	26:52	2	5	0.4	0	0	0.0	2	4	0.5	3	7	10	3	1	0	2	5	6	-15.0
Doug McDermott	18:55	5	9	0.6	4	8	0.5	0	0	0.0	0	0	0	0	2	0	1	0	14	-6.0

## Utah Jazz — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Lauri Markkanen	20:33	7	14	0.5	1	4	0.2	4	4	1.0	3	4	7	3	1	0	0	2	19	+15.0
Jaren Jackson Jr.	22:11	8	13	0.6	1	3	0.3	6	7	0.9	0	4	4	2	1	1	2	2	23	+27.0
Jusuf Nurkić	26:08	4	6	0.7	0	1	0.0	0	0	0.0	0	9	9	4	1	0	2	3	8	+7.0
Ace Bailey	30:58	5	9	0.6	3	6	0.5	0	0	0.0	2	2	4	4	0	0	0	2	13	+7.0
Isaiah Collier	26:38	5	8	0.6	2	3	0.7	0	0	0.0	0	1	1	14	1	0	4	1	12	+25.0
Cody Williams	25:04	4	6	0.7	1	2	0.5	0	0	0.0	1	4	5	2	3	0	0	2	9	+24.0
Brice Sensabaugh	24:03	8	14	0.6	3	7	0.4	0	0	0.0	0	2	2	0	1	0	3	3	19	+17.0
Kevin Love	15:43	2	5	0.4	1	3	0.3	0	0	0.0	0	9	9	1	0	0	2	0	5	+24.0
Vince Williams Jr.	21:22	3	6	0.5	3	5	0.6	0	0	0.0	2	6	8	3	0	1	1	1	9	+3.0
John Konchar	19:11	0	2	0.0	0	2	0.0	0	0	0.0	1	0	1	0	1	1	0	3	0	-3.0
Kyle Filipowski	8:09	1	3	0.3	0	1	0.0	2	2	1.0	0	2	2	1	0	0	3	2	4	-6.0
