## San Antonio Spurs — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Devin Vassell	28:28	2	8	0.2	1	5	0.2	3	3	1.0	0	4	4	2	0	0	2	1	8	-1.0
Julian Champagnie	19:48	0	3	0.0	0	3	0.0	0	0	0.0	1	2	3	1	0	1	0	0	0	-6.0
Victor Wembanyama	33:29	8	17	0.5	2	9	0.2	8	10	0.8	0	9	9	4	1	2	1	2	26	+7.0
Stephon Castle	21:28	3	11	0.3	0	1	0.0	2	3	0.7	3	1	4	4	0	0	3	4	8	-17.0
De'Aaron Fox	32:16	11	16	0.7	3	5	0.6	2	2	1.0	0	0	0	8	3	0	2	3	27	+6.0
Dylan Harper	29:00	6	10	0.6	1	3	0.3	1	1	1.0	1	4	5	8	0	0	0	1	14	+17.0
Keldon Johnson	29:19	8	13	0.6	2	6	0.3	3	3	1.0	2	4	6	2	1	0	1	2	21	+22.0
Luke Kornet	15:17	2	2	1.0	0	0	0.0	0	0	0.0	2	1	3	2	1	1	0	3	4	+8.0
Harrison Barnes	21:45	4	8	0.5	0	4	0.0	2	2	1.0	4	1	5	3	0	0	0	1	10	+29.0
Carter Bryant	9:10	2	5	0.4	1	3	0.3	3	4	0.8	1	4	5	1	0	1	0	1	8	0.0

## Golden State Warriors — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Moses Moody	35:00	6	12	0.5	3	8	0.4	2	2	1.0	1	3	4	2	0	0	0	5	17	-3.0
Gui Santos	29:46	4	11	0.4	0	3	0.0	1	2	0.5	3	2	5	6	4	0	2	5	9	-1.0
Draymond Green	29:41	6	14	0.4	2	8	0.2	3	4	0.8	2	10	12	8	0	0	2	4	17	-5.0
De'Anthony Melton	25:05	6	7	0.9	5	6	0.8	0	0	0.0	0	3	3	7	0	0	2	2	17	+12.0
Pat Spencer	30:37	4	11	0.4	0	2	0.0	1	2	0.5	1	3	4	4	0	0	2	1	9	-14.0
Brandin Podziemski	35:57	5	12	0.4	1	4	0.2	5	5	1.0	2	3	5	2	1	0	1	1	16	-27.0
Al Horford	26:24	3	7	0.4	0	4	0.0	0	0	0.0	0	4	4	1	0	0	1	1	6	-16.0
Gary Payton II	14:20	4	11	0.4	2	7	0.3	0	0	0.0	0	0	0	5	1	1	1	2	10	-12.0
Quinten Post	13:06	4	6	0.7	3	5	0.6	1	2	0.5	1	2	3	2	0	0	0	3	12	+1.0
