## Dallas Mavericks — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Naji Marshall	29:08	8	13	0.6	0	3	0.0	3	5	0.6	0	2	2	4	2	0	2	2	19	-2.0
P.J. Washington	33:56	5	10	0.5	1	4	0.2	7	8	0.9	0	4	4	2	0	0	0	2	18	-4.0
Daniel Gafford	27:55	1	2	0.5	0	0	0.0	0	0	0.0	2	4	6	1	0	1	2	3	2	-2.0
Max Christie	30:08	7	12	0.6	2	4	0.5	3	4	0.8	0	1	1	4	1	0	1	3	19	-28.0
Brandon Williams	29:03	6	11	0.5	1	3	0.3	4	5	0.8	1	4	5	7	1	0	4	0	17	+2.0
Khris Middleton	20:51	3	11	0.3	1	5	0.2	1	1	1.0	0	1	1	1	0	0	1	3	8	-16.0
Marvin Bagley III	20:05	3	7	0.4	0	1	0.0	1	2	0.5	0	4	4	0	1	0	0	3	7	-18.0
Tyus Jones	18:57	1	3	0.3	1	3	0.3	0	0	0.0	0	0	0	3	1	0	1	2	3	-22.0
Klay Thompson	23:21	4	8	0.5	1	3	0.3	0	0	0.0	0	3	3	0	1	0	4	0	9	-2.0
Dwight Powell	3:18	1	1	1.0	0	0	0.0	0	0	0.0	1	0	1	0	0	0	0	0	2	-4.0
AJ Johnson	3:18	0	1	0.0	0	0	0.0	0	0	0.0	0	1	1	0	0	0	0	0	0	-4.0

## Los Angeles Lakers — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
LeBron James	35:21	10	20	0.5	2	7	0.3	6	7	0.9	0	10	10	12	0	1	4	0	28	+6.0
Rui Hachimura	34:54	9	13	0.7	3	4	0.8	0	0	0.0	0	3	3	1	1	0	1	4	21	+18.0
Jaxson Hayes	33:41	8	10	0.8	0	0	0.0	0	0	0.0	4	3	7	4	3	1	1	4	16	+26.0
Jake LaRavia	25:40	4	6	0.7	0	1	0.0	3	3	1.0	2	1	3	2	0	0	2	2	11	+21.0
Marcus Smart	25:52	4	14	0.3	1	9	0.1	0	0	0.0	0	2	2	6	1	1	0	2	9	+6.0
Austin Reaves	28:27	5	10	0.5	1	3	0.3	7	9	0.8	1	3	4	6	0	0	2	2	18	+6.0
Luke Kennard	17:39	3	4	0.8	1	2	0.5	2	2	1.0	1	6	7	3	1	0	0	2	9	+13.0
Maxi Kleber	12:34	2	3	0.7	1	2	0.5	0	0	0.0	1	0	1	0	0	0	1	3	5	-6.0
Jarred Vanderbilt	17:07	2	3	0.7	1	2	0.5	0	0	0.0	1	5	6	0	2	0	1	1	5	+10.0
Adou Thiero	1:45	1	1	1.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	2	0.0
Dalton Knecht	1:45	0	0	0.0	0	0	0.0	0	0	0.0	0	1	1	0	0	0	0	0	0	0.0
Bronny James	1:45	0	1	0.0	0	1	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.0
Drew Timme	1:45	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	1	0	0	0	0	0	0.0
Kobe Bufkin	1:45	0	1	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.0
