## Milwaukee Bucks — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Ousmane Dieng	36:28	7	12	0.6	3	6	0.5	2	4	0.5	1	10	11	6	1	4	0	4	19	+16.0
Kyle Kuzma	28:39	5	15	0.3	2	6	0.3	2	2	1.0	2	2	4	2	0	0	0	2	14	+8.0
Jericho Sims	19:55	4	5	0.8	0	0	0.0	0	0	0.0	2	3	5	0	0	1	3	3	8	+6.0
Kevin Porter Jr.	31:39	6	15	0.4	0	1	0.0	0	0	0.0	2	1	3	7	3	0	3	0	12	+12.0
AJ Green	38:01	6	14	0.4	5	11	0.5	0	0	0.0	1	1	2	3	1	0	0	1	17	+17.0
Bobby Portis	29:02	6	11	0.5	3	6	0.5	0	0	0.0	4	8	12	3	4	0	1	2	15	+19.0
Cam Thomas	20:00	5	13	0.4	1	6	0.2	1	1	1.0	0	1	1	2	0	0	1	1	12	+15.0
Pete Nance	23:58	4	6	0.7	3	5	0.6	0	0	0.0	1	6	7	2	0	1	1	3	11	+4.0
Andre Jackson Jr.	5:57	1	1	1.0	0	0	0.0	0	0	0.0	2	1	3	0	0	0	1	1	2	-2.0
Gary Trent Jr.	3:10	0	3	0.0	0	1	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	-5.0
Thanasis Antetokounmpo	3:10	0	0	0.0	0	0	0.0	0	0	0.0	0	1	1	0	0	0	0	0	0	-5.0

## Oklahoma City Thunder — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Luguentz Dort	28:29	4	12	0.3	1	6	0.2	0	0	0.0	1	1	2	1	1	0	2	2	9	-14.0
Kenrich Williams	22:43	3	8	0.4	2	4	0.5	1	2	0.5	3	5	8	1	0	0	2	0	9	-8.0
Chet Holmgren	27:29	5	12	0.4	0	4	0.0	6	6	1.0	5	8	13	4	0	2	0	0	16	-8.0
Isaiah Joe	28:53	5	11	0.5	4	9	0.4	3	3	1.0	1	3	4	2	0	0	0	1	17	-14.0
Cason Wallace	28:25	1	7	0.1	0	2	0.0	1	2	0.5	0	2	2	3	0	2	0	0	3	-3.0
Jaylin Williams	15:51	3	5	0.6	1	3	0.3	0	1	0.0	1	1	2	3	0	1	1	2	7	-19.0
Aaron Wiggins	20:12	2	6	0.3	1	2	0.5	0	0	0.0	2	2	4	2	1	0	4	0	5	-8.0
Alex Caruso	19:37	3	6	0.5	3	4	0.8	0	0	0.0	0	3	3	1	1	0	2	0	9	-8.0
Jared McCain	24:03	3	9	0.3	2	6	0.3	5	6	0.8	1	2	3	2	0	0	2	3	13	-3.0
Nikola Topić	12:22	1	3	0.3	0	2	0.0	0	0	0.0	0	1	1	1	0	0	3	0	2	-5.0
Brooks Barnhizer	7:20	0	2	0.0	0	1	0.0	0	0	0.0	0	5	5	2	0	1	0	0	0	+2.0
Buddy Boeheim	4:36	1	2	0.5	1	2	0.5	0	0	0.0	0	0	0	0	0	0	0	0	3	+3.0
