## Portland Trail Blazers — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Sidy Cissoko	29:59	3	4	0.8	1	2	0.5	1	1	1.0	1	3	4	1	2	0	1	3	8	+25.0
Toumani Camara	29:02	5	9	0.6	4	7	0.6	0	2	0.0	3	5	8	3	1	1	4	5	14	+24.0
Donovan Clingan	31:22	8	12	0.7	0	1	0.0	7	9	0.8	6	12	18	7	0	3	0	1	23	+21.0
Jerami Grant	32:49	7	17	0.4	2	8	0.2	2	2	1.0	1	2	3	0	1	2	4	2	18	+23.0
Jrue Holiday	32:59	10	15	0.7	4	8	0.5	7	9	0.8	5	4	9	7	0	0	1	2	31	+29.0
Scoot Henderson	20:04	4	6	0.7	2	4	0.5	5	6	0.8	0	1	1	4	1	0	6	4	15	-6.0
Rayan Rupert	15:40	1	4	0.2	0	1	0.0	0	0	0.0	1	3	4	0	1	0	2	1	2	-3.0
Vít Krejčí	25:29	4	9	0.4	2	6	0.3	1	2	0.5	2	3	5	2	1	1	1	3	11	+4.0
Yang Hansen	3:06	0	1	0.0	0	0	0.0	2	2	1.0	0	0	0	0	0	0	0	1	2	-8.0
Caleb Love	14:41	4	12	0.3	3	8	0.4	0	0	0.0	0	0	0	2	0	0	0	0	11	-14.0
Blake Wesley	3:54	0	1	0.0	0	1	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	-12.0
Javonte Cooke	0:50	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	1	0	-3.0

## Utah Jazz — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Ace Bailey	34:42	7	15	0.5	1	5	0.2	0	0	0.0	3	5	8	3	0	0	4	2	15	-19.0
Cody Williams	24:39	4	9	0.4	0	3	0.0	1	1	1.0	2	0	2	3	2	1	4	3	9	-13.0
Kyle Filipowski	29:33	6	9	0.7	1	4	0.2	2	4	0.5	1	8	9	3	6	0	2	4	15	-17.0
Brice Sensabaugh	35:31	8	19	0.4	5	11	0.5	7	9	0.8	1	3	4	0	0	0	1	3	28	-27.0
Isaiah Collier	36:05	3	8	0.4	0	0	0.0	9	12	0.8	0	2	2	9	3	0	4	6	15	-24.0
John Konchar	25:08	2	7	0.3	0	3	0.0	2	3	0.7	3	4	7	3	3	2	0	1	6	+9.0
Oscar Tshiebwe	4:59	0	0	0.0	0	0	0.0	0	0	0.0	1	0	1	3	0	0	0	0	0	+8.0
Vince Williams Jr.	7:09	3	5	0.6	0	1	0.0	0	0	0.0	1	2	3	0	0	0	1	1	6	+6.0
Blake Hinson	24:45	4	7	0.6	3	6	0.5	0	0	0.0	0	1	1	1	0	0	1	5	11	0.0
Svi Mykhailiuk	17:28	5	8	0.6	4	5	0.8	0	0	0.0	0	1	1	3	1	0	2	2	14	-3.0
